"mid","status","title","url"
"M110377313","ok","File:AW ciLMGSqrYjAAAAAAAAA7mA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110377313"
"M110421273","ok","File:Adam Lewenhaupt rkIpfGqHXrAAAAAAAAB3qw.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110421273"
"M110426964","ok","File:Adam Lewenhaupt 1820–1895 5TJc-sPXaKAAAAAAAAAnkg.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110426964"
"M110427336","ok","File:Adam Lewenhaupt rkIpfGqHXrAAAAAAAADiKw.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110427336"
"M110465218","ok","File:Adolf Hamilton SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110465218"
"M110465275","ok","File:Adolf Hamilton SPA (cropped).jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110465275"
"M110470101","ok","File:A H Boklund SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110470101"
"M110482614","ok","File:Abraham Rydberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110482614"
"M110494600","ok","File:Adolf Arwidsson SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110494600"
"M110776582","ok","File:Abraham Viktor Rydberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110776582"
"M110787467","ok","File:Adolf Key-Åberg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110787467"
"M110787500","ok","File:Adolf Key-Åberg SPA2.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110787500"
"M110878443","ok","File:Abraham Ahlén SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110878443"
"M110918037","ok","File:Adolf Croneborg SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M110918037"
"M111013519","ok","File:Adolf Ahlgren SPA.jpg","https://commons.wikimedia.org/wiki/Special:EntityData/M111013519"
