mid;status;title;url
M112057561;ok;File:Augusta Hagberg SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112057561
M112057607;ok;File:Augusta Hagberg SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112057607
M112060468;ok;File:August Hagberg SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112060468
M112063919;ok;File:Arne Fries SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112063919
M112081269;ok;File:Arvid Virgin SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112081269
M112095046;ok;File:Arvid Posse SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112095046
M112097356;ok;File:Axel Malm SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112097356
M112097365;ok;File:Axel Malm SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112097365
M112121604;ok;File:Axel Edward Knut Mörner af Morlanda SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112121604
M112121689;ok;File:Axel Edward Knut Mörner af Morlanda SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112121689
M112127921;ok;File:Af Johan Bjerkén SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112127921
M112127988;ok;File:Alrik Hult SPA2 (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112127988
M112128059;ok;File:Anders Sahlén SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128059
M112128085;ok;File:Anton Martin SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128085
M112128183;ok;File:Augustin Mannerheim SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128183
M112128296;ok;File:Axel Juel SPA2 (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112128296
M112152747;ok;File:Anna Stoopendaal SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112152747
M112154112;ok;File:Axel Rappe SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112154112
M112154162;ok;File:Axel Emil Rappe SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112154162
M112154866;ok;File:Anna Stoopendaal SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112154866
M112157046;ok;File:Adolf Rappe SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157046
M112157134;ok;File:Adolf Rappe SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112157134
M112158263;ok;File:Adolf Rappe SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112158263
M112159838;ok;File:Adolf Fredrik Zakarias Rappe SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112159838
M112159876;ok;File:Adolf Fredrik Zakarias Rappe SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112159876
M112160059;ok;File:Adolf Rappe SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112160059
M112165179;ok;File:Af Rosenschöld Thomas Munck SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112165179
M112165233;ok;File:Af Rosenschöld Thomas Munck SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112165233
M112190157;ok;File:Augusta Emilia Björling SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112190157
M112190164;ok;File:Augusta Emilia Björling SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112190164
M112195297;ok;File:Anna Göransson SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112195297
M112211591;ok;File:Anna Roos SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211591
M112211603;ok;File:Anna Roos SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211603
M112211618;ok;File:Anna Roos SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211618
M112211716;ok;File:Adolf Roos SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211716
M112211739;ok;File:Adolf Roos SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211739
M112211765;ok;File:Adolf Roos SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112211765
M112212082;ok;File:Axel Roos SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212082
M112212084;ok;File:Axel Roos SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212084
M112212088;ok;File:Axel Roos SPA2 (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212088
M112212117;ok;File:A H Roos SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212117
M112212129;ok;File:A H Roos SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112212129
M112214291;ok;File:Alfred Levin Gärde SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214291
M112214296;ok;File:Alfred Levin Gärde SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112214296
M112215741;ok;File:Assar Åkerman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215741
M112215756;ok;File:Assar Åkerman SPA (cropped).jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215756
M112215792;ok;File:Assar Åkerman SPA2.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215792
M112215805;ok;File:Assar Åkerman SPA3.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215805
M112215827;ok;File:Assar Åkerman SPA4.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215827
M112215991;ok;File:August Gärde SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112215991
M112056387;ok;File:Carl Hagberg SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112056387
M112058571;ok;File:Carl Johan Fahlcrantz SPA10.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112058571
M112058796;ok;File:Carl Hagberg SPA12.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112058796
M112059363;ok;File:Carl Graffman SPA.jpg;https://commons.wikimedia.org/wiki/Special:EntityData/M112059363
