,WikidataID,authorid_x,SBL,SKBL,wikidata.wikipedia,wikidata.wikidata_id,wikidata.sbl_link,wikidata.skbl_link,wikidata.sol_link,authorid_y,WD_Littbank_SBL_merge_outer
0,Q365923,AchariusE,5503.0,,https://sv.wikipedia.org/wiki/Erik_Acharius,Q365923,5503.0,,,AchariusE,both
1,Q5541979,AckeJAG,5508.0,,https://sv.wikipedia.org/wiki/J.A.G._Acke,Q5541979,5508.0,,,AckeJAG,both
2,Q4933819,AdelborgO,5519.0,OttiliaAdelborg,https://sv.wikipedia.org/wiki/Ottilia_Adelborg,Q4933819,5519.0,OttiliaAdelborg,,AdelborgO,both
3,Q3338577,AdlerbethGJ,5544.0,,https://sv.wikipedia.org/wiki/Gudmund_J%C3%B6ran_Adlerbeth,Q3338577,5544.0,,Gudmund_Jöran_Adlerbeth,AdlerbethGJ,both
4,Q5542883,AdlersparreCA,5562.0,,https://sv.wikipedia.org/wiki/Carl_August_Adlersparre,Q5542883,5562.0,,,AdlersparreCA,both
5,Q918652,AdlersparreG,5563.0,,https://sv.wikipedia.org/wiki/Georg_Adlersparre,Q918652,5563.0,,,AdlersparreG,both
6,Q4346827,AdlersparreS,5564.0,SophieAdlersparre,https://sv.wikipedia.org/wiki/Sophie_Adlersparre,Q4346827,5564.0,SophieAdlersparre,,AdlersparreS,both
7,Q347903,AfzeliusA,5578.0,,https://sv.wikipedia.org/wiki/Adam_Afzelius_(botaniker),Q347903,5578.0,,,AfzeliusA,both
8,Q717133,AfzeliusAA,5581.0,,https://sv.wikipedia.org/wiki/Arvid_August_Afzelius,Q717133,5581.0,,,AfzeliusAA,both
9,Q345654,AgardhCA,5590.0,,https://sv.wikipedia.org/wiki/Carl_Adolph_Agardh,Q345654,5590.0,,,AgardhCA,both
10,Q520594,AgardhJG,5591.0,,https://sv.wikipedia.org/wiki/Jacob_Georg_Agardh,Q520594,5591.0,,,AgardhJG,both
11,Q469339,AgrellA,5599.0,AlfhildAgrell,https://sv.wikipedia.org/wiki/Alfhild_Agrell,Q469339,5599.0,AlfhildAgrell,,AgrellA,both
12,Q10684676,AgrellS,5605.0,,https://sv.wikipedia.org/wiki/Sven_Agrell,Q10684676,5605.0,,,AgrellS,both
13,Q717126,AhnfeltA,5629.0,,https://sv.wikipedia.org/wiki/Arvid_Ahnfelt,Q717126,5629.0,,,AhnfeltA,both
14,Q5544433,AhnfeltO,5634.0,,https://sv.wikipedia.org/wiki/Otto_Ahnfelt,Q5544433,5634.0,,,AhnfeltO,both
15,Q5544437,AhnfeltPG,5631.0,,https://sv.wikipedia.org/wiki/Paul_Gabriel_Ahnfelt,Q5544437,5631.0,,,AhnfeltPG,both
16,Q5545272,AlanderPG,5642.0,,https://sv.wikipedia.org/wiki/Pehr_Gustaf_Alander,Q5545272,5642.0,,,AlanderPG,both
17,Q5545821,AldénGA,5649.0,,https://sv.wikipedia.org/wiki/Gustaf_Ald%C3%A9n,Q5545821,5649.0,,,AldénGA,both
18,Q5547555,AlmquistJA,5703.0,,https://sv.wikipedia.org/wiki/Johan_Axel_Almquist,Q5547555,5703.0,,,AlmquistJA,both
19,Q316381,AlmqvistCJL,5695.0,,https://sv.wikipedia.org/wiki/Carl_Jonas_Love_Almqvist,Q316381,5695.0,,,AlmqvistCJL,both
20,Q4935677,AndersonH,5784.0,HedvigHeddaElisabetAnderson,https://sv.wikipedia.org/wiki/Hedda_Anderson,Q4935677,5784.0,HedvigHeddaElisabetAnderson,,AndersonH,both
21,Q5556276,AnderssonA,5791.0,,https://sv.wikipedia.org/wiki/Aksel_Andersson,Q5556276,5791.0,,,AnderssonA,both
22,Q5553419,AnderssonAn,5781.0,,https://sv.wikipedia.org/wiki/Anders_Anderson_(l%C3%A4kare),Q5553419,5781.0,,,AnderssonAn,both
23,Q5554619,AnderssonG,5798.0,,https://sv.wikipedia.org/wiki/Gustaf_Andersson_(skolman),Q5554619,5798.0,,,AnderssonG,both
24,Q1348854,AnderssonNJ,5809.0,,https://sv.wikipedia.org/wiki/Nils_Johan_Andersson,Q1348854,5809.0,,,AnderssonNJ,both
25,Q365594,AnderssonO,5814.0,,https://sv.wikipedia.org/wiki/Oskar_Andersson_(tecknare),Q365594,5814.0,,,AnderssonO,both
26,Q5556719,AndrénV,5828.0,,https://sv.wikipedia.org/wiki/Vicke_Andr%C3%A9n,Q5556719,5828.0,,,AndrénV,both
27,Q462700,AngeredStrandbergH,5834.0,HilmaAngeredStrandberg,https://sv.wikipedia.org/wiki/Hilma_Angered-Strandberg,Q462700,5834.0,HilmaAngeredStrandberg,,AngeredStrandbergH,both
28,Q5557470,AnnerstedtD,18723.0,,https://sv.wikipedia.org/wiki/Daniel_Annerstedt,Q5557470,18723.0,,,AnnerstedtD,both
29,Q5684083,ApelbladJ,18745.0,,https://sv.wikipedia.org/wiki/Jonas_Apelblad,Q5684083,18745.0,,,ApelbladJ,both
30,Q1607896,ArckenholtzJ,18766.0,,https://sv.wikipedia.org/wiki/Johan_Arckenholtz,Q1607896,18766.0,,,ArckenholtzJ,both
31,Q5558934,ArfvidssonN,18794.0,,https://sv.wikipedia.org/wiki/Nils_Arfwidsson,Q5558934,18794.0,,,ArfvidssonN,both
32,Q5558915,ArfwedsonCD,18788.0,,https://sv.wikipedia.org/wiki/Carl_David_Arfwedson,Q5558915,18788.0,,,ArfwedsonCD,both
33,Q543935,ArmfeltGM,18804.0,,https://sv.wikipedia.org/wiki/Gustaf_Mauritz_Armfelt,Q543935,18804.0,,,ArmfeltGM,both
34,Q57351,ArndtEM,18812.0,,https://sv.wikipedia.org/wiki/Ernst_Moritz_Arndt,Q57351,18812.0,,,ArndtEM,both
35,Q5559555,ArnellL,18821.0,,https://sv.wikipedia.org/wiki/Lars_Arnell_den_yngre,Q5559555,18821.0,,Lars_Arnell,ArnellL,both
36,Q192618,ArnoldsonKP,18827.0,,https://sv.wikipedia.org/wiki/Klas_Pontus_Arnoldson,Q192618,18827.0,,,ArnoldsonKP,both
37,Q1077973,AroseniusI,18836.0,,https://sv.wikipedia.org/wiki/Ivar_Arosenius,Q1077973,18836.0,,,AroseniusI,both
38,Q16158791,ArosiandrinusAJ,18831.0,,https://sv.wikipedia.org/wiki/Andreas_Johannis_Arosiandrinus,Q16158791,18831.0,,Andreas_Johannis_Arosiandrinus,ArosiandrinusAJ,both
39,Q5560131,ArrheniusJ,18845.0,,https://sv.wikipedia.org/wiki/Jacob_Arrhenius,Q5560131,18845.0,,,ArrheniusJ,both
40,Q5560452,ArvidiA,5823.0,,https://sv.wikipedia.org/wiki/Andreas_Arvidi,Q5560452,5823.0,,,ArvidiA,both
41,Q362749,ArvidssonAI,18860.0,,https://sv.wikipedia.org/wiki/Adolf_Ivar_Arwidsson,Q362749,18860.0,,,ArvidssonAI,both
42,Q5594681,AschaneusML,18865.0,,https://sv.wikipedia.org/wiki/Martin_Aschaneus,Q5594681,18865.0,,,AschaneusML,both
43,Q4071288,AskelöfJC,18875.0,,https://sv.wikipedia.org/wiki/Johan_Christoffer_Askel%C3%B6f,Q4071288,18875.0,,,AskelöfJC,both
44,Q5561282,AspPO,18884.0,,https://sv.wikipedia.org/wiki/Per_Olof_von_Asp,Q5561282,18884.0,,,AspPO,both
45,Q5561666,AsteropherusMO,18902.0,,https://sv.wikipedia.org/wiki/Magnus_Olai_Asteropherus,Q5561666,18902.0,,,AsteropherusMO,both
46,Q444538,AtterbomPDA,18908.0,,https://sv.wikipedia.org/wiki/Per_Daniel_Amadeus_Atterbom,Q444538,18908.0,,,AtterbomPDA,both
47,Q6150396,AveelenJ,18945.0,,https://sv.wikipedia.org/wiki/Johannes_van_den_Aveelen,Q6150396,18945.0,,,AveelenJ,both
48,Q5562885,AxehielmJ,18946.0,,https://sv.wikipedia.org/wiki/Johan_Axehielm,Q5562885,18946.0,,,AxehielmJ,both
49,Q16159388,AxelsonM,18950.0,,https://sv.wikipedia.org/wiki/Maximilian_Axelson,Q16159388,18950.0,,,AxelsonM,both
50,Q5563610,BackmanA,18964.0,,https://sv.wikipedia.org/wiki/Anders_Backman,Q5563610,18964.0,,,BackmanA,both
51,Q5563626,BackmanCJ,18966.0,,https://sv.wikipedia.org/wiki/Carl_Johan_Backman_(journalist),Q5563626,18966.0,,Carl_Johan_Backman,BackmanCJ,both
52,Q4356553,BadinG,18973.0,,https://sv.wikipedia.org/wiki/Gustav_Badin,Q4356553,18973.0,,,BadinG,both
53,Q5563937,BagerH,18982.0,,https://sv.wikipedia.org/wiki/Haqvin_Bager,Q5563937,18982.0,,,BagerH,both
54,Q1693505,BahrJF,19011.0,,https://sv.wikipedia.org/wiki/Johan_Fredrik_Bahr,Q1693505,19011.0,,,BahrJF,both
55,Q214043,BauerJ,19089.0,,https://sv.wikipedia.org/wiki/John_Bauer,Q214043,19089.0,,,BauerJ,both
56,Q5568454,BeckmanN,18394.0,,https://sv.wikipedia.org/wiki/Natanael_Beckman,Q5568454,18394.0,,,BeckmanN,both
57,Q312498,BellmanCM,18441.0,,https://sv.wikipedia.org/wiki/Carl_Michael_Bellman,Q312498,18441.0,,,BellmanCM,both
58,Q273950,BenedictssonV,18474.0,VictoriaBenedictsson,https://sv.wikipedia.org/wiki/Victoria_Benedictsson,Q273950,18474.0,VictoriaBenedictsson,,BenedictssonV,both
59,Q5570805,BensowO,18499.0,,https://sv.wikipedia.org/wiki/Oscar_Bensow,Q5570805,18499.0,,,BensowO,both
60,Q1340404,BenzeliusEdy,18503.0,,https://sv.wikipedia.org/wiki/Erik_Benzelius_den_yngre,Q1340404,18503.0,,,BenzeliusEdy,both
61,Q5570926,BenzelstiernaG,18507.0,,https://sv.wikipedia.org/wiki/Gustaf_Benzelstierna,Q5570926,18507.0,,,BenzelstiernaG,both
62,Q5570995,BerchA,18514.0,,https://sv.wikipedia.org/wiki/Anders_Berch,Q5570995,18514.0,,,BerchA,both
63,Q656239,BergPG,18554.0,,https://sv.wikipedia.org/wiki/Per_Gustaf_Berg,Q656239,18554.0,,,BergPG,both
64,Q5571370,BergRG,18558.0,,https://sv.wikipedia.org/wiki/Ruben_G:son_Berg,Q5571370,18558.0,,,BergRG,both
65,Q5571427,BergW,18561.0,,https://sv.wikipedia.org/wiki/Wilhelm_Berg,Q5571427,18561.0,,,BergW,both
66,Q5571604,BergenhielmJ,18575.0,,https://sv.wikipedia.org/wiki/Johan_Bergenhielm,Q5571604,18575.0,,,BergenhielmJ,both
67,Q4938400,BergerCCU,18587.0,ChristinaCharlottaUlrikaBerger,https://sv.wikipedia.org/wiki/Charlotta_Berger,Q4938400,18587.0,ChristinaCharlottaUlrikaBerger,,BergerCCU,both
68,Q5571726,BergerH,18588.0,,https://sv.wikipedia.org/wiki/Henning_Berger,Q5571726,18588.0,,,BergerH,both
69,Q1356488,BerghR,18610.0,,https://sv.wikipedia.org/wiki/Richard_Bergh,Q1356488,18610.0,,,BerghR,both
70,Q5572213,BergiusB,18618.0,,https://sv.wikipedia.org/wiki/Bengt_Bergius,Q5572213,18618.0,,,BergiusB,both
71,Q5571945,BergiusN,18622.0,,https://sv.wikipedia.org/wiki/Nicolaus_Bergius,Q5571945,18622.0,,,BergiusN,both
72,Q2612272,BergiusPJ,18625.0,,https://sv.wikipedia.org/wiki/Peter_Jonas_Bergius,Q2612272,18625.0,,,BergiusPJ,both
73,Q5572230,BergklintO,18626.0,,https://sv.wikipedia.org/wiki/Olof_Bergklint,Q5572230,18626.0,,,BergklintO,both
74,Q887342,BergmanB,18633.0,,https://sv.wikipedia.org/wiki/Bo_Bergman,Q887342,18633.0,,,BergmanB,both
75,Q506829,BergmanHj,18642.0,,https://sv.wikipedia.org/wiki/Hjalmar_Bergman,Q506829,18642.0,,,BergmanHj,both
76,Q5572707,BergmanJM,18646.0,,https://sv.wikipedia.org/wiki/Johan_Magnus_Bergman,Q5572707,18646.0,,,BergmanJM,both
77,Q16161931,BergstedtA,18655.0,,https://sv.wikipedia.org/wiki/Anders_Bergstedt,Q16161931,18655.0,,,BergstedtA,both
78,Q5573213,BergstrandPE,18668.0,,https://sv.wikipedia.org/wiki/Per_Emanuel_Bergstrand,Q5573213,18668.0,,,BergstrandPE,both
79,Q5573300,BergströmD,18677.0,,https://sv.wikipedia.org/wiki/David_Bergstr%C3%B6m,Q5573300,18677.0,,,BergströmD,both
80,Q5573538,BergströmO,18686.0,,https://sv.wikipedia.org/wiki/Otto_Bergstr%C3%B6m,Q5573538,18686.0,,,BergströmO,both
81,Q5573553,BergströmR,18688.0,,https://sv.wikipedia.org/wiki/Richard_Bergstr%C3%B6m_(folklorist),Q5573553,18688.0,,,BergströmR,both
82,Q3843379,BeroniusM,18108.0,,https://sv.wikipedia.org/wiki/Magnus_Beronius,Q3843379,18108.0,,,BeroniusM,both
83,Q151911,BerzeliusJJ,18122.0,,https://sv.wikipedia.org/wiki/J%C3%B6ns_Jacob_Berzelius,Q151911,18122.0,,,BerzeliusJJ,both
84,Q4349660,BeskowBvon,18136.0,,https://sv.wikipedia.org/wiki/Bernhard_von_Beskow,Q4349660,18136.0,,,BeskowBvon,both
85,Q1785241,BeskowElisabeth,18131.0,ElisabethBeskow,https://sv.wikipedia.org/wiki/Elisabeth_Beskow,Q1785241,18131.0,ElisabethBeskow,,BeskowElisabeth,both
86,Q5575153,BeyerAnderssonG,18148.0,,https://sv.wikipedia.org/wiki/Gabriel_Beyer,Q5575153,18148.0,,,BeyerAnderssonG,both
87,Q5597308,BibergNF,18153.0,,https://sv.wikipedia.org/wiki/Nils_Fredrik_Biberg,Q5597308,18153.0,,,BibergNF,both
