,full_name,WikidataID,authorid,WD_Litteraturbanken,librisid,show,Littbank,LittbankJSON,WDHub
4188,Ester Edquist,,EdquistE,Litterturbanken_only,rp357p392d4t4b6,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/EdquistE'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/EdquistE'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:rp357p392d4t4b6?site=wd'>Hub</a>
4186,Johan Fredrik Svedér,,SvedérJF,Litterturbanken_only,rp36bht90mzh056,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/SvedérJF'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/SvedérJF'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:rp36bht90mzh056?site=wd'>Hub</a>
4185,Gunnar Svedin,,SvedinG,Litterturbanken_only,sq4695nb2hblvlk,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/SvedinG'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/SvedinG'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:sq4695nb2hblvlk?site=wd'>Hub</a>
4184,Einar Svedberg,,SvedbergCE,Litterturbanken_only,gdsvz1b049ndcnm,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/SvedbergCE'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/SvedbergCE'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:gdsvz1b049ndcnm?site=wd'>Hub</a>
4181,Gustaf Malmgren,,MalmgrenG,Litterturbanken_only,khwz2c031561kdx,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/MalmgrenG'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/MalmgrenG'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:khwz2c031561kdx?site=wd'>Hub</a>
4180,C. H. Petersson,,PeterssonCH,Litterturbanken_only,1zcgksxk3xcwf5p,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/PeterssonCH'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/PeterssonCH'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:1zcgksxk3xcwf5p?site=wd'>Hub</a>
4178,John Kaselli,,KaselliJ,Litterturbanken_only,42gjd3dn2k9w95p,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/KaselliJ'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/KaselliJ'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:42gjd3dn2k9w95p?site=wd'>Hub</a>
4159,Per August Carlsson,,CarlssonPA,Litterturbanken_only,75kmp6fr4vvj132,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/CarlssonPA'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/CarlssonPA'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:75kmp6fr4vvj132?site=wd'>Hub</a>
4177,Andrew Macfie,,MacfieA,Litterturbanken_only,b8nqlkdv2531621,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/MacfieA'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/MacfieA'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:b8nqlkdv2531621?site=wd'>Hub</a>
4174,Reinhold Callmander,,CallmanderR,Litterturbanken_only,5lcds4nn3bxfzgpz,True,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/CallmanderR'>link Litteraturbanken</a>,<a target=_blank href='https://litteraturbanken.se/api/get_author/CallmanderR'>json</a>,<a target=_blank href='https://hub.toolforge.org/P5587:5lcds4nn3bxfzgpz?site=wd'>Hub</a>
