,WikidataID,authorid,full_name,wd_hos_Litteraturbanken,authorid_norm,show,updated,imported,librisid,WD_Litteraturbanken
4760,,SaagK,Kristjan Saag,,SaagK,True,2025-03-03,2006-08-21,,Litterturbanken_only
4188,,EdquistE,Ester Edquist,,EdquistE,True,2025-03-03,2025-03-03,rp357p392d4t4b6,Litterturbanken_only
4193,,MeyersonJH,Johan Heinrich Meyerson,,MeyersonJH,True,2025-03-03,2025-03-03,,Litterturbanken_only
4192,,FeilitzenCJF,Carl Fredrik Johan von Feilitzen,,FeilitzenCJF,True,2025-03-03,2025-03-03,,Litterturbanken_only
4191,,HedinLA,Lorentz Alfred Hedin,,HedinLA,True,2025-03-03,2025-03-03,,Litterturbanken_only
4190,,KronbergC,Carl Kronberg,,KronbergC,True,2025-03-03,2025-03-03,,Litterturbanken_only
4189,,ForsellesJ,Jenny af Forselles,,ForsellesJ,True,2025-03-03,2025-03-03,,Litterturbanken_only
4187,,FristedtC,Conrad Fristedt,,FristedtC,True,2025-03-03,2025-03-03,,Litterturbanken_only
4195,,FischerströmAC,Alexander Cornelius Fischerström,,FischerstromAC,True,2025-03-03,2025-03-03,,Litterturbanken_only
4186,,SvedérJF,Johan Fredrik Svedér,,SvederJF,True,2025-03-03,2025-03-03,rp36bht90mzh056,Litterturbanken_only
4185,,SvedinG,Gunnar Svedin,,SvedinG,True,2025-03-03,2025-03-03,sq4695nb2hblvlk,Litterturbanken_only
4184,,SvedbergCE,Einar Svedberg,,SvedbergCE,True,2025-03-03,2025-03-03,gdsvz1b049ndcnm,Litterturbanken_only
4183,,FrenckellR,Reinhold Frenckell,,FrenckellR,True,2025-03-03,2025-03-03,,Litterturbanken_only
4182,,EkelöfA,Anna Ekelöf,,EkelofA,True,2025-03-03,2025-03-03,,Litterturbanken_only
4181,,MalmgrenG,Gustaf Malmgren,,MalmgrenG,True,2025-03-03,2025-03-03,khwz2c031561kdx,Litterturbanken_only
4180,,PeterssonCH,C. H. Petersson,,PeterssonCH,True,2025-03-03,2025-03-03,1zcgksxk3xcwf5p,Litterturbanken_only
4194,,FelldinG,Georg Felldin,,FelldinG,True,2025-03-03,2025-03-03,,Litterturbanken_only
4196,,NauclérT,Thilda Nauclér,,NauclerT,True,2025-03-03,2025-03-03,,Litterturbanken_only
4179,,LönnerbergF,Fanny Lönnerberg,,LonnerbergF,True,2025-03-03,2025-03-03,,Litterturbanken_only
4178,,KaselliJ,John Kaselli,,KaselliJ,True,2025-03-03,2025-03-03,42gjd3dn2k9w95p,Litterturbanken_only
4161,,AhlbergB,Berta Ahlberg,,AhlbergB,True,2025-03-03,2025-03-03,,Litterturbanken_only
4159,,CarlssonPA,Per August Carlsson,,CarlssonPA,True,2025-03-03,2025-03-03,75kmp6fr4vvj132,Litterturbanken_only
4160,,WahlgrenE,Emanuel Wahlgren,,WahlgrenE,True,2025-03-03,2025-03-03,,Litterturbanken_only
4162,,LundahlL,L. Lundahl,,LundahlL,True,2025-03-03,2025-03-03,,Litterturbanken_only
4177,,MacfieA,Andrew Macfie,,MacfieA,True,2025-03-03,2025-03-03,b8nqlkdv2531621,Litterturbanken_only
4176,,NielsenLC,Ludvig Christian Nielsen,,NielsenLC,True,2025-03-03,2025-03-03,,Litterturbanken_only
4175,,JohanssonE,Erik Johansson,,JohanssonE,True,2025-03-03,2025-03-03,,Litterturbanken_only
4174,,CallmanderR,Reinhold Callmander,,CallmanderR,True,2025-03-03,2025-03-03,5lcds4nn3bxfzgpz,Litterturbanken_only
4173,,JanssonA,August Jansson,,JanssonA,True,2025-03-03,2025-03-03,,Litterturbanken_only
4172,,HögqvistJ,Jean Högqvist,,HogqvistJ,True,2025-03-03,2025-03-03,,Litterturbanken_only
4171,,HollenderS,Sigurd Hollender,,HollenderS,True,2025-03-03,2025-03-03,,Litterturbanken_only
4170,,AbrahamssonJ,J. Abrahamsson,,AbrahamssonJ,True,2025-03-03,2025-03-03,,Litterturbanken_only
4169,,BerwaldMA,Mauritz August Berwald,,BerwaldMA,True,2025-03-03,2025-03-03,,Litterturbanken_only
4168,,SchensonMM,Maria Magdalena Schenson,,SchensonMM,True,2025-03-03,2025-03-03,,Litterturbanken_only
4167,,HelgessonA,Anders Helgesson,,HelgessonA,True,2025-03-03,2025-03-03,,Litterturbanken_only
4166,,HellgrenAE,Anton Emil Hellgren,,HellgrenAE,True,2025-03-03,2025-03-03,,Litterturbanken_only
4165,,SjöbergAnneCharlotte,Anne Charlotte Sjöberg,,SjobergAnneCharlotte,True,2025-03-03,2025-03-03,,Litterturbanken_only
4164,,SandbergHugo,Hugo Sandberg,,SandbergHugo,True,2025-03-03,2025-03-03,,Litterturbanken_only
4163,,LidnerEJ,Eva Jaquette Lidner,,LidnerEJ,True,2025-03-03,2025-03-03,,Litterturbanken_only
4197,,ArwidssonH,Håkan Arwidsson,,ArwidssonH,True,2025-02-03,2025-02-03,,Litterturbanken_only
4592,,VingstedtC,Carl Vingstedt,,VingstedtC,True,2025-02-03,2021-03-01,,Litterturbanken_only
4704,,FinneA,Aina Finne,,FinneA,True,2025-02-03,2018-10-25,,Litterturbanken_only
4202,,MöllerEV,E.V. Möller,,MollerEV,True,2025-02-03,2025-02-03,,Litterturbanken_only
4199,,BergVonLindeAA,Axel August Berg von Linde,,BergVonLindeAA,True,2025-02-03,2025-02-03,,Litterturbanken_only
4198,,MathewsCJ,Charles James Mathews,,MathewsCJ,True,2025-02-03,2025-02-03,,Litterturbanken_only
4200,,Michaelisgillet,Michaelisgillet,,Michaelisgillet,True,2025-02-03,2025-02-03,,Litterturbanken_only
4748,,SIOFF,Strindberg i offentligheten (projekt),,SIOFF,True,2025-02-03,2014-09-15,,Litterturbanken_only
4203,,HudsonE,E. Hudson,,HudsonE,True,2025-02-03,2025-02-03,,Litterturbanken_only
4510,,DahlHj,Hjalmar Dahl,,DahlHj,True,2025-02-03,2021-05-31,,Litterturbanken_only
4437,,DahlinCS,Carl Sigfrid Dahlin,,DahlinCS,True,2025-02-03,2022-06-27,,Litterturbanken_only
4201,,BarthelsHL,Heinrich Ludwig Barthels,,BarthelsHL,True,2025-02-03,2025-02-03,,Litterturbanken_only
4250,,DagermanL,Lo Dagerman,,DagermanL,True,2024-12-02,2024-08-26,n4ttvc6xlr2l5kbh,Litterturbanken_only
4247,,PalmeU,Ulrika Palme,,PalmeU,True,2024-12-02,2024-08-26,,Litterturbanken_only
4261,,AcktéA,Aino Ackté,,AckteA,True,2024-12-02,2024-06-24,,Litterturbanken_only
4263,,ThoméV,Verner Thomé,,ThomeV,True,2024-12-02,2024-06-24,,Litterturbanken_only
4262,,EngelbergR,Rafael Engelberg,,EngelbergR,True,2024-12-02,2024-06-24,,Litterturbanken_only
4257,,LidbergG,Gustaf Lidberg,,LidbergG,True,2024-12-02,2024-08-26,,Litterturbanken_only
4225,,WiderbergA,Andreas Widerberg,,WiderbergA,True,2024-12-02,2024-10-28,,Litterturbanken_only
4224,,ModigJ,Jonas Modig,,ModigJ,True,2024-12-02,2024-10-28,dbqt0qjx2xjwnvj,Litterturbanken_only
4223,,ZetterqvistME,Marie Elise Zetterqvist,,ZetterqvistME,True,2024-12-02,2024-12-02,,Litterturbanken_only
4222,,KaiserF,Friedrich Kaiser,,KaiserF,True,2024-12-02,2024-12-02,,Litterturbanken_only
4221,,BergeratE,Émile Bergerat,,BergeratE,True,2024-12-02,2024-12-02,,Litterturbanken_only
4220,,Quatrelles,Quatrelles,,Quatrelles,True,2024-12-02,2024-12-02,,Litterturbanken_only
4219,,ElfvikPA,Pehr August Elfvik,,ElfvikPA,True,2024-12-02,2024-12-02,dbqswrtx1smltwd,Litterturbanken_only
4218,,ChavetteE,Eugène Chavette,,ChavetteE,True,2024-12-02,2024-12-02,,Litterturbanken_only
4217,,AllvinJ,Jonas Allvin,,AllvinJ,True,2024-12-02,2024-12-02,,Litterturbanken_only
4216,,OMonroyR,Richard O'Monroy,,OMonroyR,True,2024-12-02,2024-12-02,,Litterturbanken_only
4215,,KihlstedtL,Lucie Kihlstedt,,KihlstedtL,True,2024-12-02,2024-12-02,,Litterturbanken_only
4214,,HermelinT,Thorsten Hermelin,,HermelinT,True,2024-12-02,2024-12-02,,Litterturbanken_only
4213,,HultinJ,Julius Hultin,,HultinJ,True,2024-12-02,2024-12-02,,Litterturbanken_only
4226,,WeidarA,Anders Weidar,,WeidarA,True,2024-12-02,2024-10-28,sq47gngb38gms11,Litterturbanken_only
4238,,FriedL,Leon Fried,,FriedL,True,2024-12-02,2024-09-23,,Litterturbanken_only
4227,,GourgaudG,Gaspard Gourgaud,,GourgaudG,True,2024-12-02,2024-10-28,,Litterturbanken_only
4624,,LönnbergM,Mathilda Lönnberg,,LonnbergM,True,2024-12-02,2021-03-01,,Litterturbanken_only
4540,,StrömbergT,Theodor Strömberg,,StrombergT,True,2024-12-02,2021-04-06,,Litterturbanken_only
4422,,GranbergR,Robert Granberg,,GranbergR,True,2024-12-02,2023-02-27,,Litterturbanken_only
4751,,SSK,Strindbergssällskapet,Q10681854,SSK,True,2024-12-02,2014-05-05,,Litterturbanken_only
4744,,SFS,Svenska fornskriftsällskapet,Q10685340,SFS,True,2024-12-02,2016-09-07,,Litterturbanken_only
4742,,BornemanGHvon,Georg Henrik von Borneman,Q5582776,BornemanGHvon,True,2024-12-02,2016-11-16,1zcfhsdk289zw81,Litterturbanken_only
4737,,LundbergS,Samuel Paulson Lundberg,,LundbergS,True,2024-12-02,2017-03-01,,Litterturbanken_only
4361,,AxbergerG,Gunnar Axberger,,AxbergerG,True,2024-12-02,2023-06-26,,Litterturbanken_only
4267,,HirnM,Marta Hirn,,HirnM,True,2024-12-02,2024-06-24,,Litterturbanken_only
4348,,PetersonCF,Carl Fredrik Peterson,,PetersonCF,True,2024-12-02,2023-08-28,,Litterturbanken_only
4285,,HessliusA,Andreas Hesslius,,HessliusA,True,2024-12-02,2024-01-29,,Litterturbanken_only
4278,,QuennerstedtAxel,Axel Quennerstedt,,QuennerstedtAxel,True,2024-12-02,2024-01-29,zw9dkmph1p54ssk,Litterturbanken_only
4205,,WesselJH,Johan Herman Wessel,,WesselJH,True,2024-12-02,2024-12-02,,Litterturbanken_only
4204,,LundellH,Hilda Lundell,,LundellH,True,2024-12-02,2024-12-02,,Litterturbanken_only
4207,,HammarstedtNE,Nils Edvard Hammarstedt,,HammarstedtNE,True,2024-12-02,2024-12-02,,Litterturbanken_only
4212,,WelanderPO,Per Olof Welander,,WelanderPO,True,2024-12-02,2024-12-02,,Litterturbanken_only
