,all,WikidataID,spaid,Littauthorid,score,FirstNameWD,LastNameWD,BirthDayWD,FirstNameSPA,LastNameSPA,BirthDaySPA,searchStr,BirthYearSPA,BirthYearWD,wd,Littbank,WD,WD_template,SPA,WikicommonsUrl,name_Ascii,name_str,CommonsCat,UploadUrl
131,Joakim Vilhelm Liliestråle 1721,,rkIpfGqHXrAAAAAAAAD18w,LiliestråleJW,82.0224,Joakim,Lilliestråle,,Joakim,Liliestråle,,,1721.0,1721,Q5951400,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/LiliestråleJW'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5951400'>Q5951400</a>,{{Q|Q5951400}},<a target=_blank href='https://portrattarkiv.se/details/rkIpfGqHXrAAAAAAAAD18w'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Joakim_Lilliestråle_1721'>link Commons</a>,Joakim%20Lilliestråle%201721,Joakim Lilliestråle 1721,[[Category:Joakim%20Lilliestråle%201721]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Joakim%20Lilliestråle%201721%20{{Q|Q5951400}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Joakim%20Lilliestråle%201721%20{{Q|Q5951400}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/rkIpfGqHXrAAAAAAAAD18w%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Joakim%20Lilliestråle%201721]]&wpLicense=cc-by-sa-4.0&wpDestFile=Joakim Lilliestråle 1721_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=rkIpfGqHXrAAAAAAAAD18w'>link Upload</a>
1019,Anna Gustafsdotter Banér 1585,,sj9PGLAlnmUAAAAAACYy8A,BanerA,80.52638,Anna,Banér,,Anna,Gustafsdotter-Banér,,,1585,1585,Q22670927,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BanerA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q22670927'>Q22670927</a>,{{Q|Q22670927}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAACYy8A'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Anna_Banér_1585'>link Commons</a>,Anna%20Banér%201585,Anna Banér 1585,[[Category:Anna%20Banér%201585]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/sj9PGLAlnmUAAAAAACYy8A%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Anna%20Banér%201585]]&wpLicense=cc-by-sa-4.0&wpDestFile=Anna Banér 1585_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAACYy8A'>link Upload</a>
20,Elis Chiewitz 1784,,sj9PGLAlnmUAAAAAABVvkg,ChiewitzE,79.24202,Elis,Chiewitz,,Elis,Chiewitz,,,1839.0,1784,Q5607767,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ChiewitzE'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5607767'>Q5607767</a>,{{Q|Q5607767}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABVvkg'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Elis_Chiewitz_1784'>link Commons</a>,Elis%20Chiewitz%201784,Elis Chiewitz 1784,[[Category:Elis%20Chiewitz%201784]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Elis%20Chiewitz%201784%20{{Q|Q5607767}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Elis%20Chiewitz%201784%20{{Q|Q5607767}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABVvkg%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Elis%20Chiewitz%201784]]&wpLicense=cc-by-sa-4.0&wpDestFile=Elis Chiewitz 1784_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABVvkg'>link Upload</a>
139,Johan Fredrik Muncktell 1764,,sj9PGLAlnmUAAAAAAB2V9Q,MuncktellJF,76.43912,Johan,Muncktell,,Johan,Muncktell,,,1764.0,1764,Q5996948,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/MuncktellJF'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q5996948'>Q5996948</a>,{{Q|Q5996948}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAB2V9Q'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Johan_Muncktell_1764'>link Commons</a>,Johan%20Muncktell%201764,Johan Muncktell 1764,[[Category:Johan%20Muncktell%201764]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Johan%20Muncktell%201764%20{{Q|Q5996948}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Johan%20Muncktell%201764%20{{Q|Q5996948}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/sj9PGLAlnmUAAAAAAB2V9Q%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Johan%20Muncktell%201764]]&wpLicense=cc-by-sa-4.0&wpDestFile=Johan Muncktell 1764_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAAB2V9Q'>link Upload</a>
460,Sten Arvidsson Sture 1681,,mLh5P0pzYFAAAAAAAAA2kQ,ArvidssonSS,72.96724,Sten,Sture,,Sten,Sture,,,1681,1681,Q52714485,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ArvidssonSS'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q52714485'>Q52714485</a>,{{Q|Q52714485}},<a target=_blank href='https://portrattarkiv.se/details/mLh5P0pzYFAAAAAAAAA2kQ'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Sten_Sture_1681'>link Commons</a>,Sten%20Sture%201681,Sten Sture 1681,[[Category:Sten%20Sture%201681]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Sten%20Sture%201681%20{{Q|Q52714485}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Sten%20Sture%201681%20{{Q|Q52714485}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/mLh5P0pzYFAAAAAAAAA2kQ%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Sten%20Sture%201681]]&wpLicense=cc-by-sa-4.0&wpDestFile=Sten Sture 1681_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=mLh5P0pzYFAAAAAAAAA2kQ'>link Upload</a>
332,Samuel Älf 1727,,5TJc-sPXaKAAAAAAAAAnVA,ÄlfS,71.719505,Samuel,Älf,,S E,Älf,,,1727.0,1727,Q6254347,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/ÄlfS'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q6254347'>Q6254347</a>,{{Q|Q6254347}},<a target=_blank href='https://portrattarkiv.se/details/5TJc-sPXaKAAAAAAAAAnVA'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Samuel_Älf_1727'>link Commons</a>,Samuel%20Älf%201727,Samuel Älf 1727,[[Category:Samuel%20Älf%201727]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Samuel%20Älf%201727%20{{Q|Q6254347}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Samuel%20Älf%201727%20{{Q|Q6254347}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/5TJc-sPXaKAAAAAAAAAnVA%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Samuel%20Älf%201727]]&wpLicense=cc-by-sa-4.0&wpDestFile=Samuel Älf 1727_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=5TJc-sPXaKAAAAAAAAAnVA'>link Upload</a>
1020,Anna Gustafsdotter Banér 1585,,sj9PGLAlnmUAAAAAABO1vQ,BanerA,71.14699,Anna,Banér,,Anna,Banér,,,1585,1585,Q22670927,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BanerA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q22670927'>Q22670927</a>,{{Q|Q22670927}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABO1vQ'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Anna_Banér_1585'>link Commons</a>,Anna%20Banér%201585,Anna Banér 1585,[[Category:Anna%20Banér%201585]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/sj9PGLAlnmUAAAAAABO1vQ%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Anna%20Banér%201585]]&wpLicense=cc-by-sa-4.0&wpDestFile=Anna Banér 1585_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABO1vQ'>link Upload</a>
1021,Anna Gustafsdotter Banér 1585,,TNQaWo324IAAAAAAAADyBQ,BanerA,70.51836,Anna,Banér,,Anna,Banér,,,1585,1585,Q22670927,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BanerA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q22670927'>Q22670927</a>,{{Q|Q22670927}},<a target=_blank href='https://portrattarkiv.se/details/TNQaWo324IAAAAAAAADyBQ'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Anna_Banér_1585'>link Commons</a>,Anna%20Banér%201585,Anna Banér 1585,[[Category:Anna%20Banér%201585]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/TNQaWo324IAAAAAAAADyBQ%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Anna%20Banér%201585]]&wpLicense=cc-by-sa-4.0&wpDestFile=Anna Banér 1585_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=TNQaWo324IAAAAAAAADyBQ'>link Upload</a>
1022,Anna Gustafsdotter Banér 1585,,sj9PGLAlnmUAAAAAACYy-Q,BanerA,70.090126,Anna,Banér,,Anna,Banér,,,1585,1585,Q22670927,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/BanerA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q22670927'>Q22670927</a>,{{Q|Q22670927}},<a target=_blank href='https://portrattarkiv.se/details/sj9PGLAlnmUAAAAAACYy-Q'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Anna_Banér_1585'>link Commons</a>,Anna%20Banér%201585,Anna Banér 1585,[[Category:Anna%20Banér%201585]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Anna%20Banér%201585%20{{Q|Q22670927}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/sj9PGLAlnmUAAAAAACYy-Q%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Anna%20Banér%201585]]&wpLicense=cc-by-sa-4.0&wpDestFile=Anna Banér 1585_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAACYy-Q'>link Upload</a>
677,Lorentz Alfred Hedin 1832,,j6S8rJvx9lAAAAAAAAA3Cw,HedinLA,69.07631,Lorentz,Hedin,,Lorentz,Hedin,,,1832,1832,Q16649352,<a target=_blank href='https://litteraturbanken.se/f%C3%B6rfattare/HedinLA'>link Littbank</a>,<a target=_blank href='https://www.wikidata.org/wiki/Q16649352'>Q16649352</a>,{{Q|Q16649352}},<a target=_blank href='https://portrattarkiv.se/details/j6S8rJvx9lAAAAAAAAA3Cw'>link SPA</a>,<a target=_blank href='https://commons.wikimedia.org/wiki/Category:Lorentz_Hedin_1832'>link Commons</a>,Lorentz%20Hedin%201832,Lorentz Hedin 1832,[[Category:Lorentz%20Hedin%201832]],<a target=_blank href='https://commons.wikimedia.org/wiki/Special:Upload?wpUploadDescription=%7B%7BInformation%0A%7Cdescription%3D%7B%7Bsv%7Cuppladdat%20fr%C3%A5n%20Portrattarkiv.se%20bild%20av%20Lorentz%20Hedin%201832%20{{Q|Q16649352}}%7D%7D%0A%7B%7Ben%7Cuploaded%20from%20Portrattarkiv.se%20picture%20of%20Lorentz%20Hedin%201832%20{{Q|Q16649352}}%7D%7D%0A%7Csource%3Dhttps://portrattarkiv.se/details/j6S8rJvx9lAAAAAAAAA3Cw%0A%7Cauthor%3D%7B%7Bsv|okänd%7D%7D%7B%7Ben|Unknown%7D%7D%0A%7Cpermission%3D%0A%7Cother versions%3D%0A%7D%7D%0A%0A%0A[[Category:Uploaded with spa2CommonsNotebook]]%0A[[Category:Swedish_Portrait_Archive]]%0A[[Category:Lorentz%20Hedin%201832]]&wpLicense=cc-by-sa-4.0&wpDestFile=Lorentz Hedin 1832_SPA_Notebook_1.jpg&wpSourceType=url&wpUploadFileURL=https://portrattarkiv.se/endpoints/file.php?id=j6S8rJvx9lAAAAAAAAA3Cw'>link Upload</a>
