wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q9191,3283,56.872803,56.872803,sj9PGLAlnmUAAAAAABzpOQ,René,Descartes,1596
http://www.wikidata.org/entity/Q22670927,3902,54.135574,54.135574,sj9PGLAlnmUAAAAAACYy8A,Anna,Gustafsdotter-Banér,1585
http://www.wikidata.org/entity/Q1527703,292,51.183067,51.183067,WQknIBFpuuAAAAAAAANgZA,Jakob,Björnståhl,1731
http://www.wikidata.org/entity/Q6000000,5589,48.400414,48.400414,TR3yO_GV8eAAAAAAAAAKVg,Erik,Emporagrius,1606
http://www.wikidata.org/entity/Q4945390,879,48.20974,48.20974,sj9PGLAlnmUAAAAAACYzcg,Dorothea,Dunckel,1799
http://www.wikidata.org/entity/Q1373367,237,48.102306,48.102306,sj9PGLAlnmUAAAAAAB5W0Q,Olof,von-Dalin,1708
http://www.wikidata.org/entity/Q5785026,4647,47.801285,47.801285,sj9PGLAlnmUAAAAAAB4cOA,Carl,Hallman,1732
http://www.wikidata.org/entity/Q2693785,1794,47.698288,47.698288,VaM-WW8ntnAAAAAAAAABUQ,Johan III,Sobieski,1629
http://www.wikidata.org/entity/Q5613778,2538,47.457794,47.457794,4e1scVvZ-EAAAAAAAAAHtg,Johan,Crusenstolpe,1801
http://www.wikidata.org/entity/Q333651,536,47.28641,47.28641,sj9PGLAlnmUAAAAAAB2SAA,Henrik,Porthan,1739
http://www.wikidata.org/entity/Q16596225,3536,46.730045,46.730045,sj9PGLAlnmUAAAAAABNcZw,Christina,Rudbeck,1722
http://www.wikidata.org/entity/Q4684135,2135,46.63805,46.63805,YB0QHyfj0hAAAAAAAADOoQ,Adolf,Stierneld,1755
http://www.wikidata.org/entity/Q5791668,4671,45.81019,45.81019,lzSYNK3ifoMAAAAAAAcGaQ,Truls,Hartelius,1818
http://www.wikidata.org/entity/Q5597308,2436,45.77987,45.77987,WQknIBFpuuAAAAAAAANhSg,Nils,Biberg,1776
http://www.wikidata.org/entity/Q1453246,282,45.607864,45.607864,sj9PGLAlnmUAAAAAAB5Wyw,Fredrik Axel,von-Fersen,1719
http://www.wikidata.org/entity/Q4983037,1139,45.53203,45.53203,NhqpvvI9tpAAAAAAAAAebA,Ying-Ying,Toijer-Nilsson,1924
http://www.wikidata.org/entity/Q52950,3446,45.527092,45.527092,sj9PGLAlnmUAAAAAAB4u4A,Geer Louis Gerhard,De,1818
http://www.wikidata.org/entity/Q1401658,267,45.416294,45.416294,mLh5P0pzYFAAAAAAAABWvQ,Jacob,Lindblom,1746
http://www.wikidata.org/entity/Q1038496,117,45.109016,45.109016,sj9PGLAlnmUAAAAAAB1iQg,Carl,Tessin,1695
http://www.wikidata.org/entity/Q2896104,1814,45.104065,45.104065,sj9PGLAlnmUAAAAAAB5r2w,Benjamin Carl Henrik,Höijer,1767
http://www.wikidata.org/entity/Q4982788,1134,44.990112,44.990112,sj9PGLAlnmUAAAAAAB4v1g,Tibell Charlotta Cecilia,af,1820
http://www.wikidata.org/entity/Q47088,3426,44.97538,44.97538,5TJc-sPXaKAAAAAAAAAnhg,Carl,af Wirsén,1842
http://www.wikidata.org/entity/Q5563907,2265,44.798065,44.798065,sj9PGLAlnmUAAAAAABzpJQ,Axel,Leijonhufvud,1717
http://www.wikidata.org/entity/Q6244276,6811,44.7344,44.7344,sj9PGLAlnmUAAAAAABKXnw,Johan,af Wingård,1778
http://www.wikidata.org/entity/Q4944091,874,43.913483,43.913483,sj9PGLAlnmUAAAAAABO3eA,Charlotta,D´Albedyhll,1770
http://www.wikidata.org/entity/Q52508786,5309,43.85942,43.85942,sj9PGLAlnmUAAAAAABzqbA,Carl,Klingenberg-Nordenflycht,1708
http://www.wikidata.org/entity/Q5795366,4691,43.853848,43.853848,mLh5P0pzYFAAAAAAAABWuA,Samuel,Hedborn,1783
http://www.wikidata.org/entity/Q4959699,999,43.671196,43.671196,0piq-fX0h5AAAAAAAABIXg,von Lotten,Kræmer,1828
http://www.wikidata.org/entity/Q105750676,4255,43.58177,43.58177,j6S8rJvx9lAAAAAAAAC2Jw,Eric,Hammargren,1814
http://www.wikidata.org/entity/Q52714485,6006,43.520935,43.520935,mLh5P0pzYFAAAAAAAAA2kQ,Sten,Sture,1681
http://www.wikidata.org/entity/Q18274630,3809,43.03655,43.03655,sj9PGLAlnmUAAAAAAB4fbg,Anna Sophia CONCORDIA,Löfving,1843
http://www.wikidata.org/entity/Q6014555,5639,43.01516,43.01516,sj9PGLAlnmUAAAAAAB5Wbg,Anders,Backmansson-Nordencrantz,1697
http://www.wikidata.org/entity/Q6230276,6751,42.624325,42.624325,4e1scVvZ-EAAAAAAAAAYOA,Josef,Wallander,1821
http://www.wikidata.org/entity/Q66581829,6216,42.535564,42.535564,sj9PGLAlnmUAAAAAABK05A,Carl,Posse,1660
