,0,1
0,M110465275,Q2824703
1,M111371972,Q2482314
2,M112375203,Q18238225
3,M112375216,Q18238225
4,M112392665,Q4943098
5,M112408085,Q29047398
6,M112427640,Q48709014
7,M112458663,Q6171709
8,M112489160,Q5771716
9,M112490909,Q109545314
10,M112490915,Q109545314
11,M112510564,Q5916532
12,M112510591,Q5916532
13,M112513916,Q6009495
14,M112589342,Q2482314
15,M112589538,Q5596701
16,M112590691,Q98693724
17,M112615562,Q5893691
18,M112650706,Q4969542
19,M112650707,Q4969542
20,M112650708,Q4969542
21,M112650719,Q4969542
22,M112650721,Q4969542
23,M112650724,Q4969542
24,M112690043,Q6186277
25,M112690051,Q6186277
26,M112690060,Q6186277
27,M112690080,Q6186277
28,M112690113,Q6186277
29,M112705079,Q6042602
30,M112710241,Q6241288
31,M112710254,Q6241288
32,M112710291,Q6241288
33,M112710345,Q6241288
34,M112713691,Q6225637
35,M112713728,Q6225637
36,M112713748,Q6225637
37,M112729925,Q109678371
38,M112729936,Q109678371
39,M112729947,Q109678371
40,M112730484,Q109678650
41,M112756045,Q5557532
42,M112756104,Q5557532
43,M112756113,Q5557532
44,M112756153,Q5557532
45,M112820027,Q2824703
46,M112820539,Q64412511
47,M112820544,Q64412511
48,M112820552,Q64412511
49,M112820573,Q64412511
50,M112339224,Q5796348
51,M112339228,Q5796348
52,M112339246,Q5796348
53,M112379236,Q5605691
54,M112379244,Q5605691
55,M112445438,Q102981042
56,M112478332,Q16946439
57,M112478371,Q16946439
58,M112498310,Q534493
59,M112498366,Q534493
60,M112518523,Q5579732
61,M112518529,Q5579732
62,M112518549,Q5579732
63,M112518576,Q5579732
64,M112518582,Q5579732
65,M112519044,Q6075823
66,M112519048,Q6075823
67,M112546886,Q56301332
68,M112546890,Q56301332
69,M112546894,Q56301332
70,M112546928,Q56301332
71,M112546941,Q56301332
72,M112546953,Q56301332
73,M112590182,Q98545952
74,M112590213,Q98545952
75,M112590242,Q98545952
76,M112590255,Q98545952
77,M112613363,Q4723287
78,M112613377,Q4723287
79,M112613384,Q4723287
80,M112613478,Q4723287
81,M112613489,Q4723287
82,M112613515,Q4723287
83,M112613528,Q4723287
84,M112615574,Q5893691
85,M112651204,Q59359434
86,M112651205,Q59359434
87,M112651219,Q59359434
88,M112651224,Q59359434
89,M112651226,Q59359434
90,M112651230,Q59359434
91,M112704505,Q4972440
92,M112704984,Q6042602
93,M112705050,Q6042602
94,M112705062,Q6042602
95,M112705073,Q6042602
96,M112705568,Q6218962
97,M112705614,Q6218962
98,M112705621,Q6218962
99,M112705637,Q6218962
100,M112380714,Q19628297
101,M112381119,Q18941112
102,M112381121,Q18941112
103,M112382550,Q18941123
104,M112382559,Q18941123
105,M112382580,Q18941123
106,M112387255,Q50804810
107,M112387355,Q5579639
108,M112387392,Q5579639
109,M112387452,Q5579639
110,M112390804,Q4975808
111,M112390819,Q4975808
112,M112390824,Q4975808
113,M112391890,Q4768080
114,M112392578,Q4811427
115,M112392585,Q4811427
116,M112392594,Q4811427
117,M112397349,Q4939302
118,M112467280,Q109557876
119,M112467292,Q109557876
120,M112478384,Q16946439
121,M112478423,Q16946439
122,M112480845,Q4958970
123,M112481725,Q95921340
124,M112481735,Q95921340
125,M112512996,Q5781454
126,M112513015,Q5781454
127,M112513161,Q5781454
128,M112513179,Q5781454
129,M112518234,Q106575028
130,M112518237,Q106575028
131,M112518262,Q106575028
132,M112518265,Q106575028
133,M112518271,Q106575028
134,M112521268,Q109581436
135,M112540468,Q53294
136,M112572310,Q22670927
