wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q42173598,97348,74.41014,74.41014,sj9PGLAlnmUAAAAAABKFUQ,Conrad,Behrens,1835
http://www.wikidata.org/entity/Q62247,126061,71.747894,71.747894,seuNpYu6DKAAAAAAAABklQ,Johan,Pfalz-Zweibrücken,1589
http://www.wikidata.org/entity/Q6206338,85178,68.47637,68.47637,sj9PGLAlnmUAAAAAAB5q6g,Johannes Elai,Terserus,1605
http://www.wikidata.org/entity/Q161322,12495,67.068726,67.068726,VaM-WW8ntnAAAAAAAAAA7A,"av, Hedvig",Holstein-Gottorp,1636
http://www.wikidata.org/entity/Q4974070,52561,66.17019,66.17019,4e1scVvZ-EAAAAAAAAAdfQ,Olga,Raphael-Linden,1887
http://www.wikidata.org/entity/Q525903,17383,63.372387,63.372387,sj9PGLAlnmUAAAAAAB5BTw,Pontus,de-la-Gardie,1520
http://www.wikidata.org/entity/Q4997158,57292,61.762558,61.762558,sj9PGLAlnmUAAAAAABLIZw,Bulstrode,Whitelocke,1605
http://www.wikidata.org/entity/Q5813742,58266,60.984077,60.984077,sj9PGLAlnmUAAAAAABejRw,Gustaf,Horn,1706
http://www.wikidata.org/entity/Q6099541,72987,60.8909,60.8909,mLh5P0pzYFAAAAAAAAA5dg,Ivor,Thord-Gray,1878
http://www.wikidata.org/entity/Q233496,22422,60.740288,60.740288,VaM-WW8ntnAAAAAAAAAA-A,"av, Kristina",Holstein-Gottorp,1573
http://www.wikidata.org/entity/Q6186498,80551,60.68905,60.68905,sj9PGLAlnmUAAAAAABZrfw,von Holstein Georg,Staël,1685
http://www.wikidata.org/entity/Q1371153,27748,60.055294,60.055294,sj9PGLAlnmUAAAAAAB5Wnw,Nils,Rosén-von-Rosenstein,1706
http://www.wikidata.org/entity/Q6096701,72947,59.940746,59.940746,YB0QHyfj0hAAAAAAAABgpA,Knut,von Schéele,1838
http://www.wikidata.org/entity/Q18244458,95586,59.913475,59.913475,I_2wtd5VefAAAAAAAABQ7w,Mortimer,Munck-af-Rosenschöld,1873
http://www.wikidata.org/entity/Q70887,1124,59.647293,59.647293,sj9PGLAlnmUAAAAAAB5WWA,Johan Hartwig Ernst,Bernstorff,1712
http://www.wikidata.org/entity/Q553795,19308,59.547325,59.547325,sj9PGLAlnmUAAAAAABVt7Q,Sébastien,Bourdon,1616
http://www.wikidata.org/entity/Q16649913,105661,59.316547,59.316547,sj9PGLAlnmUAAAAAAB2Vww,David,Munck-af-Rosenschöld,1786
http://www.wikidata.org/entity/Q834509,24571,59.088036,59.088036,sj9PGLAlnmUAAAAAAA2zww,Johan,Adler-Salvius,1590
http://www.wikidata.org/entity/Q10504178,93743,58.18125,58.18125,IQojCnw0WmAAAAAAAABJeg,Georg,von Francken,1827
http://www.wikidata.org/entity/Q320135,13914,58.060215,58.060215,TNQaWo324IAAAAAAAADtVw,Carl,von Blixen-Finecke,1822
http://www.wikidata.org/entity/Q1871779,33172,57.978397,57.978397,sj9PGLAlnmUAAAAAAB5rxw,Louis Jean,Desprez,1743
http://www.wikidata.org/entity/Q65248,127371,57.62874,57.62874,sj9PGLAlnmUAAAAAAB5WWw,Andreas Peter,Bernstorff,1735
http://www.wikidata.org/entity/Q6172410,76952,57.590435,57.590435,sj9PGLAlnmUAAAAAAB4v9g,Peter Lorenz,Sellergren,1768
http://www.wikidata.org/entity/Q5575583,59516,57.44677,57.44677,WQknIBFpuuAAAAAAAANfEQ,Hogenskild,Bielke,1538
http://www.wikidata.org/entity/Q4388895,51213,57.435337,57.435337,9Y5iReTPHdAAAAAAAAA9xQ,Salomon,von Rajalin,1757
http://www.wikidata.org/entity/Q5542904,50433,57.30024,57.30024,sj9PGLAlnmUAAAAAAA2zvw,Jöran,Adlersteen-Piehlman,1640
http://www.wikidata.org/entity/Q153232,10392,57.05469,57.05469,rkIpfGqHXrAAAAAAAADdTQ,J,LeRond,1717
http://www.wikidata.org/entity/Q5604660,68089,56.935326,56.935326,4e1scVvZ-EAAAAAAAAAdbg,Mauritz,Stensson-Leijonhufvud,1559
http://www.wikidata.org/entity/Q9191,115217,56.870758,56.870758,sj9PGLAlnmUAAAAAABzpOQ,René,Descartes,1596
http://www.wikidata.org/entity/Q4972667,52526,56.7653,56.7653,sj9PGLAlnmUAAAAAABO5Uw,Louise,Petrén-Overton,1880
http://www.wikidata.org/entity/Q29480651,102830,56.520065,56.520065,j6S8rJvx9lAAAAAAAAA06w,Hakon,Hedemann-Gade,1891
http://www.wikidata.org/entity/Q4950141,49833,56.427303,56.427303,1ha4xkDj-uAAAAAAAAAHrw,Ida,Gisiko-Spärck,1859
http://www.wikidata.org/entity/Q6078176,70882,56.323162,56.323162,seuNpYu6DKAAAAAAAABj4g,Lars,von Röök,1778
http://www.wikidata.org/entity/Q5602676,67991,56.070385,56.070385,sj9PGLAlnmUAAAAAAA7WMg,Haqvin,Carlheim-Gyllensköld,1899
http://www.wikidata.org/entity/Q23988493,106741,56.010628,56.010628,seuNpYu6DKAAAAAAAABjVQ,Jules,Kramer,1827
http://www.wikidata.org/entity/Q4981388,54241,55.80936,55.80936,sj9PGLAlnmUAAAAAAB5BQA,Kristina,Svantesdotter-Sture,1559
http://www.wikidata.org/entity/Q16158966,105999,55.762825,55.762825,sj9PGLAlnmUAAAAAABUwsw,Christian,von Ascheberg,1662
http://www.wikidata.org/entity/Q6170267,76822,55.71649,55.71649,sj9PGLAlnmUAAAAAACYpSA,Hans Hugold,von Schwerin,1853
http://www.wikidata.org/entity/Q159726,12401,55.241714,55.241714,sj9PGLAlnmUAAAAAAB6M_A,John Raleigh,Mott,1865
http://www.wikidata.org/entity/Q247626,8078,55.198673,55.198673,j6S8rJvx9lAAAAAAAAC6gw,Barbro,Hiort-af-Ornäs,1921
http://www.wikidata.org/entity/Q6165670,76642,55.103176,55.103176,sj9PGLAlnmUAAAAAAB2TUQ,Carl,Rosenadler,1717
http://www.wikidata.org/entity/Q66953,327,54.857445,54.857445,1ha4xkDj-uAAAAAAAABb1Q,Georg,von Görtz,1668
http://www.wikidata.org/entity/Q48426301,101202,54.80061,54.80061,4e1scVvZ-EAAAAAAAAAFFw,Pava,Nilsson-Tourda,1847
http://www.wikidata.org/entity/Q902797,26812,54.75983,54.75983,sj9PGLAlnmUAAAAAAB5r8w,Johan Gottschalk,Wallerius,1709
http://www.wikidata.org/entity/Q26994790,94690,54.706867,54.706867,sj9PGLAlnmUAAAAAACZqjA,Mattis,Hahr-Grundell,1879
http://www.wikidata.org/entity/Q30229665,105089,54.52842,54.52842,xnPIH5lXePAAAAAAAAAJEA,Lilly,Åkerholm-Fedortjuk,1895
http://www.wikidata.org/entity/Q42913101,97584,54.497494,54.497494,YB0QHyfj0hAAAAAAAACUMA,Alrik,Sundén-Cullberg,1867
http://www.wikidata.org/entity/Q5613574,71480,54.444702,54.444702,sj9PGLAlnmUAAAAAAA7lsg,Fredrik,Cronstedt,1744
http://www.wikidata.org/entity/Q1389552,23979,54.423725,54.423725,rkIpfGqHXrAAAAAAAAAMbA,Peter,Lange-Müller,1850
http://www.wikidata.org/entity/Q4943098,47720,54.127346,54.127346,sj9PGLAlnmUAAAAAABVvnQ,Agnes,Cleve-Jonand,1876
http://www.wikidata.org/entity/Q15695135,90183,53.840694,53.840694,sj9PGLAlnmUAAAAAAB2WiA,,von Schwerin,1751
http://www.wikidata.org/entity/Q98528642,110116,53.827183,53.827183,sj9PGLAlnmUAAAAAACY1KQ,Pia,Hård-af-Segerstad,1909
http://www.wikidata.org/entity/Q68884547,109216,53.72354,53.72354,ciLMGSqrYjAAAAAAAABEjg,von Sydow Mary,Wijk,1884
http://www.wikidata.org/entity/Q4993043,57222,53.61887,53.61887,YB0QHyfj0hAAAAAAAAHf_g,Oscar,Sturzen-Becker,1811
http://www.wikidata.org/entity/Q5612574,71420,53.208076,53.208076,rkIpfGqHXrAAAAAAAAAsSw,Faurschou Dornonville de la Cour Jens,Lassen,1876
http://www.wikidata.org/entity/Q36620,119805,53.136257,53.136257,sj9PGLAlnmUAAAAAAB1iPw,Tycho,Brahe,1546
http://www.wikidata.org/entity/Q3355468,55428,53.008945,53.008945,vfWYdYT6EoAAAAAAAAA6VA,Elise,Ottesen-Jensen,1886
http://www.wikidata.org/entity/Q353693,10887,52.878387,52.878387,sj9PGLAlnmUAAAAAACbeSQ,Christopher,Polhem,1661
http://www.wikidata.org/entity/Q57852,125324,52.840492,52.840492,sj9PGLAlnmUAAAAAAB5Wvw,Karl Fredrik,af-Holstein-Gottorp,1700
http://www.wikidata.org/entity/Q233319,22417,52.736572,52.736572,VaM-WW8ntnAAAAAAAAAA3A,"av, Maria",Brandenburg,1599
http://www.wikidata.org/entity/Q5605879,71181,52.6251,52.6251,sj9PGLAlnmUAAAAAAB5r-w,Magnus,von-Celse,1709
http://www.wikidata.org/entity/Q5718945,60816,52.55252,52.55252,sj9PGLAlnmUAAAAAABfAsQ,Nicolaus,Eschilli,1588
http://www.wikidata.org/entity/Q5568219,57782,52.544956,52.544956,TNQaWo324IAAAAAAAADtwA,Lave,Beck-Friis,1857
http://www.wikidata.org/entity/Q118888,4541,52.462635,52.462635,sj9PGLAlnmUAAAAAAB2TTw,Johann,Hedlinger,1691
http://www.wikidata.org/entity/Q1385985,40405,52.410862,52.410862,sj9PGLAlnmUAAAAAAB2XBg,Kilian,Stobæus,1690
