wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q5587405,12960,77.438034,77.438034,sj9PGLAlnmUAAAAAABUmIQ,Reinerus,Broocman,1677
http://www.wikidata.org/entity/Q6155408,21100,74.853806,74.853806,sj9PGLAlnmUAAAAAAB2Vow,Eberhard,Munck-af-Rosenschöld,1775
http://www.wikidata.org/entity/Q62247,26069,71.747894,71.747894,seuNpYu6DKAAAAAAAABklQ,Johan,Pfalz-Zweibrücken,1589
http://www.wikidata.org/entity/Q2340040,6674,69.484344,69.484344,sj9PGLAlnmUAAAAAABVt5Q,Jacques-Philippe,Bouchardon,1711
http://www.wikidata.org/entity/Q5935480,22738,68.71312,68.71312,sj9PGLAlnmUAAAAAAB5W0A,Jakob Albrekt,von-Lantingshausen,1699
http://www.wikidata.org/entity/Q161322,217,67.068726,67.068726,VaM-WW8ntnAAAAAAAAAA7A,"av, Hedvig",Holstein-Gottorp,1636
http://www.wikidata.org/entity/Q5589356,13070,65.70389,65.70389,sj9PGLAlnmUAAAAAABYcbA,Christian,von Buchwaldt,1666
http://www.wikidata.org/entity/Q3132764,8977,65.18344,65.18344,1ha4xkDj-uAAAAAAAABbfw,Simon,Grundel-Helmfelt,1617
http://www.wikidata.org/entity/Q236774,312,65.04118,65.04118,VaM-WW8ntnAAAAAAAAAAvQ,"av, Katarina",Sachsen-Lauenburg,1513
http://www.wikidata.org/entity/Q525903,651,63.372387,63.372387,sj9PGLAlnmUAAAAAAB5BTw,Pontus,de-la-Gardie,1520
http://www.wikidata.org/entity/Q5821241,15547,61.579586,61.579586,j6S8rJvx9lAAAAAAAACyAw,Arvid,von Höpken,1710
http://www.wikidata.org/entity/Q5933355,22703,61.144783,61.144783,mLh5P0pzYFAAAAAAAAAyWA,Rickman,Lancken-von-der,1878
http://www.wikidata.org/entity/Q5813742,13542,60.984077,60.984077,sj9PGLAlnmUAAAAAABejRw,Gustaf,Horn,1706
http://www.wikidata.org/entity/Q233496,292,60.740288,60.740288,VaM-WW8ntnAAAAAAAAAA-A,"av, Kristina",Holstein-Gottorp,1573
