wd,,score,max,spaid,FirstName,LastName,BirthYear
http://www.wikidata.org/entity/Q98528657,3472,71.94393,71.94393,sj9PGLAlnmUAAAAAACY2og,Hilda,Pennington-Mellor-Munthe,1876
http://www.wikidata.org/entity/Q161322,522,67.06842,67.06842,VaM-WW8ntnAAAAAAAAAA7A,"av, Hedvig",Holstein-Gottorp,1636
http://www.wikidata.org/entity/Q4974070,4042,66.17,66.17,4e1scVvZ-EAAAAAAAAAdfQ,Olga,Raphael-Linden,1887
http://www.wikidata.org/entity/Q1778583,90,63.55138,63.55138,sj9PGLAlnmUAAAAAABO4Rw,Aase,Løvberg,1923
http://www.wikidata.org/entity/Q99035949,3607,62.529583,62.529583,sj9PGLAlnmUAAAAAACY3Mw,Ann-Sofi,Schotte-Lindsten,1911
http://www.wikidata.org/entity/Q105526124,5657,61.972946,61.972946,sj9PGLAlnmUAAAAAACZxpw,Janken,Wiel-Hansen,1868
http://www.wikidata.org/entity/Q233496,567,60.740005,60.740005,VaM-WW8ntnAAAAAAAAAA-A,"av, Kristina",Holstein-Gottorp,1573
http://www.wikidata.org/entity/Q4947389,5267,59.549004,59.549004,sj9PGLAlnmUAAAAAACYzsg,Görvel,Fadersdotter,1517
http://www.wikidata.org/entity/Q242598,611,59.380512,59.380512,wbbNj8LLWMAAAAAAAAB5XQ,"av, Blanka",Namur,1320
http://www.wikidata.org/entity/Q913068,10,57.262474,57.262474,sj9PGLAlnmUAAAAAABKJ2A,Valborg,Svärdström-Werbeck,1879
http://www.wikidata.org/entity/Q2075113,135,57.19501,57.19501,_P7S9YzQCjAAAAAAAAAs3w,Hedvig,DeLaGardie,1761
http://www.wikidata.org/entity/Q4972667,3967,56.765152,56.765152,sj9PGLAlnmUAAAAAABO5Uw,Louise,Petrén-Overton,1880
http://www.wikidata.org/entity/Q4945505,5082,56.275948,56.275948,sj9PGLAlnmUAAAAAACYzIw,Emerentia,von Düben,1669
http://www.wikidata.org/entity/Q108314878,5767,55.830544,55.830544,sj9PGLAlnmUAAAAAAA7Q_Q,Ellinor,Carleman-Beörecz,1899
http://www.wikidata.org/entity/Q4981388,4412,55.809395,55.809395,sj9PGLAlnmUAAAAAAB5BQA,Kristina,Svantesdotter-Sture,1559
http://www.wikidata.org/entity/Q61911,5432,55.33593,55.33593,sj9PGLAlnmUAAAAAABO5nA,Teresia,Sachsen-Altenburg,1836
http://www.wikidata.org/entity/Q247626,615,55.198105,55.198105,j6S8rJvx9lAAAAAAAAC6gw,Barbro,Hiort-af-Ornäs,1921
http://www.wikidata.org/entity/Q98528660,3487,55.00659,55.00659,sj9PGLAlnmUAAAAAACY3AQ,Märta,Rinde-Ramsbäck,1920
http://www.wikidata.org/entity/Q4944388,5047,54.16671,54.16671,_P7S9YzQCjAAAAAAAAAtew,Maria,DeLaGardie,1627
http://www.wikidata.org/entity/Q22670927,7365,54.133427,54.133427,sj9PGLAlnmUAAAAAACYy8A,Anna,Gustafsdotter-Banér,1585
http://www.wikidata.org/entity/Q4943098,4997,54.127205,54.127205,sj9PGLAlnmUAAAAAABVvnQ,Agnes,Cleve-Jonand,1876
http://www.wikidata.org/entity/Q98528642,2912,53.826344,53.826344,sj9PGLAlnmUAAAAAACY1KQ,Pia,Hård-af-Segerstad,1909
http://www.wikidata.org/entity/Q68884547,2562,53.723305,53.723305,ciLMGSqrYjAAAAAAAABEjg,von Sydow Mary,Wijk,1884
http://www.wikidata.org/entity/Q4941825,4937,53.079502,53.079502,sj9PGLAlnmUAAAAAACYzZw,Emanuella,Carlbeck,1829
http://www.wikidata.org/entity/Q3355468,279,53.008762,53.008762,vfWYdYT6EoAAAAAAAAA6VA,Elise,Ottesen-Jensen,1886
http://www.wikidata.org/entity/Q233319,562,52.736546,52.736546,VaM-WW8ntnAAAAAAAAAA3A,"av, Maria",Brandenburg,1599
http://www.wikidata.org/entity/Q4949622,981,52.235043,52.235043,1ha4xkDj-uAAAAAAAABeaQ,Ingela,Gathenhielm,1692
http://www.wikidata.org/entity/Q10524975,6492,52.033215,52.033215,sj9PGLAlnmUAAAAAACY1Iw,Hjördis,Hjalmarsdotter-Hjorth,1924
http://www.wikidata.org/entity/Q234251,582,51.92877,51.92877,VaM-WW8ntnAAAAAAAAAA8g,"av, Lovisa",Preussen,1720
http://www.wikidata.org/entity/Q4977687,4202,51.475742,51.475742,YB0QHyfj0hAAAAAAAADUKA,Martina,von Schwerin,1789
http://www.wikidata.org/entity/Q4988547,6102,51.284374,51.284374,sj9PGLAlnmUAAAAAACYyzQ,Ida,Gawell-Blumenthal,1869
http://www.wikidata.org/entity/Q101526852,3827,51.282368,51.282368,sj9PGLAlnmUAAAAAACY39A,Louise,Woods-Beckman,1852
http://www.wikidata.org/entity/Q4939194,1829,51.188465,51.188465,sj9PGLAlnmUAAAAAAA2u9w,Ulla,Bjerne-Biaudet,1890
http://www.wikidata.org/entity/Q50512443,4517,51.143135,51.143135,0piq-fX0h5AAAAAAAABXBA,Ebba,Kolare-Theorin,1891
http://www.wikidata.org/entity/Q15713810,6587,50.645523,50.645523,sj9PGLAlnmUAAAAAABO5tA,Beata,Rosenhane,1638
http://www.wikidata.org/entity/Q4951765,1058,50.430954,50.430954,sj9PGLAlnmUAAAAAABO3Vw,Kjerstin,Göransson-Ljungman,1901
http://www.wikidata.org/entity/Q179558,527,50.189587,50.189587,0piq-fX0h5AAAAAAAABaFw,Aleksandra,Kollontaj,1872
http://www.wikidata.org/entity/Q4980276,4327,49.645813,49.645813,VaM-WW8ntnAAAAAAAAAAtg,Hedvig,Tessin-Stenbock,1655
http://www.wikidata.org/entity/Q1448829,55,49.573486,49.573486,9Y5iReTPHdAAAAAAAAA2sg,Solveig,Rönn-Christiansson,1902
http://www.wikidata.org/entity/Q3307858,269,49.53941,49.53941,sj9PGLAlnmUAAAAAABO5lA,Anna,Thelott,1683
http://www.wikidata.org/entity/Q4767080,1484,49.51745,49.51745,j6S8rJvx9lAAAAAAAACudw,Anna,Hierta-Retzius,1841
