item1_label,item1_id,item1_api,item1_image,item2_label,item2_id,item2_api,item2_image,distance
Signe Hebbe,sj9PGLAlnmUAAAAAABO4LA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABO4LA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABO4LA,Signe Hebbe,j6S8rJvx9lAAAAAAAAC4OQ,https://portrattarkiv.se/endpoints/portraits.php?id=j6S8rJvx9lAAAAAAAAC4OQ,https://portrattarkiv.se/endpoints/file.php?id=j6S8rJvx9lAAAAAAAAC4OQ,0
Lars Tingsten,NhqpvvI9tpAAAAAAAAAy1Q,https://portrattarkiv.se/endpoints/portraits.php?id=NhqpvvI9tpAAAAAAAAAy1Q,https://portrattarkiv.se/endpoints/file.php?id=NhqpvvI9tpAAAAAAAAAy1Q,Lars Tingsten,4e1scVvZ-EAAAAAAAAAW2g,https://portrattarkiv.se/endpoints/portraits.php?id=4e1scVvZ-EAAAAAAAAAW2g,https://portrattarkiv.se/endpoints/file.php?id=4e1scVvZ-EAAAAAAAAAW2g,0
Lars Tingsten,sj9PGLAlnmUAAAAAABNuiQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABNuiQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABNuiQ,Lars Tingsten,NhqpvvI9tpAAAAAAAAA3MA,https://portrattarkiv.se/endpoints/portraits.php?id=NhqpvvI9tpAAAAAAAAA3MA,https://portrattarkiv.se/endpoints/file.php?id=NhqpvvI9tpAAAAAAAAA3MA,0
Lars Tingsten,sj9PGLAlnmUAAAAAABOuVg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABOuVg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABOuVg,Lars Tingsten,NhqpvvI9tpAAAAAAAAA3pQ,https://portrattarkiv.se/endpoints/portraits.php?id=NhqpvvI9tpAAAAAAAAA3pQ,https://portrattarkiv.se/endpoints/file.php?id=NhqpvvI9tpAAAAAAAAA3pQ,0
Lars Tingsten,sj9PGLAlnmUAAAAAABg4Dw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABg4Dw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABg4Dw,Lars Tingsten,NhqpvvI9tpAAAAAAAAA3ng,https://portrattarkiv.se/endpoints/portraits.php?id=NhqpvvI9tpAAAAAAAAA3ng,https://portrattarkiv.se/endpoints/file.php?id=NhqpvvI9tpAAAAAAAAA3ng,0
Verner von Heidenstam,sj9PGLAlnmUAAAAAABYbdg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABYbdg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABYbdg,Verner von Heidenstam,j6S8rJvx9lAAAAAAAACylw,https://portrattarkiv.se/endpoints/portraits.php?id=j6S8rJvx9lAAAAAAAACylw,https://portrattarkiv.se/endpoints/file.php?id=j6S8rJvx9lAAAAAAAACylw,0
Theodor Magnus Fries,sj9PGLAlnmUAAAAAABgqZw,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABgqZw,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABgqZw,Theodor Magnus Fries,IQojCnw0WmAAAAAAAABRRw,https://portrattarkiv.se/endpoints/portraits.php?id=IQojCnw0WmAAAAAAAABRRw,https://portrattarkiv.se/endpoints/file.php?id=IQojCnw0WmAAAAAAAABRRw,0
Theodor Magnus Fries,sj9PGLAlnmUAAAAAABgy3g,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABgy3g,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABgy3g,Theodor Magnus Fries,IQojCnw0WmAAAAAAAABQpA,https://portrattarkiv.se/endpoints/portraits.php?id=IQojCnw0WmAAAAAAAABQpA,https://portrattarkiv.se/endpoints/file.php?id=IQojCnw0WmAAAAAAAABQpA,0
Waldemar Rudin,9Y5iReTPHdAAAAAAAABE-Q,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABE-Q,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABE-Q,Waldemar Rudin,5TJc-sPXaKAAAAAAAAApgw,https://portrattarkiv.se/endpoints/portraits.php?id=5TJc-sPXaKAAAAAAAAApgw,https://portrattarkiv.se/endpoints/file.php?id=5TJc-sPXaKAAAAAAAAApgw,0
Waldemar Rudin,9Y5iReTPHdAAAAAAAABFWg,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABFWg,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABFWg,Waldemar Rudin,seuNpYu6DKAAAAAAAABWFQ,https://portrattarkiv.se/endpoints/portraits.php?id=seuNpYu6DKAAAAAAAABWFQ,https://portrattarkiv.se/endpoints/file.php?id=seuNpYu6DKAAAAAAAABWFQ,0
Waldemar Rudin,sj9PGLAlnmUAAAAAABJ-_w,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABJ-_w,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABJ-_w,Waldemar Rudin,9Y5iReTPHdAAAAAAAABFHg,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABFHg,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABFHg,0
Axel Rappe,sj9PGLAlnmUAAAAAABLIgA,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABLIgA,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABLIgA,Axel Rappe,9Y5iReTPHdAAAAAAAABD8w,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABD8w,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABD8w,0
Axel Rappe,sj9PGLAlnmUAAAAAABg3vQ,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABg3vQ,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABg3vQ,Axel Rappe,9Y5iReTPHdAAAAAAAABLsA,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABLsA,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABLsA,0
Axel Rappe,sj9PGLAlnmUAAAAAABgrVg,https://portrattarkiv.se/endpoints/portraits.php?id=sj9PGLAlnmUAAAAAABgrVg,https://portrattarkiv.se/endpoints/file.php?id=sj9PGLAlnmUAAAAAABgrVg,Axel Rappe,9Y5iReTPHdAAAAAAAABK2Q,https://portrattarkiv.se/endpoints/portraits.php?id=9Y5iReTPHdAAAAAAAABK2Q,https://portrattarkiv.se/endpoints/file.php?id=9Y5iReTPHdAAAAAAAABK2Q,0
