qid,source_id,target_id,same_person,first,last,birth
Q52969,vfWYdYT6EoAAAAAAAAAt0w,4e1scVvZ-EAAAAAAAAAYng,False,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGbg,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGbw,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGcw,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGdA,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGQw,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGUQ,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGYw,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAAB2Qng,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABGdgA,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABldjA,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABlZRA,False,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABMBHA,False,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABNiAQ,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAA1Mw,False,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAA2Yw,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAA4Mg,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAAt1A,True,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAAt5g,False,Fredrik,von Otter,1833-04-11
Q52969,vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAAzaQ,True,Fredrik,von Otter,1833-04-11
Q5799040,sj9PGLAlnmUAAAAAABgceQ,j6S8rJvx9lAAAAAAAAAtxg,False,Arvid,Hellebladh,1902-06-01
Q6045870,sj9PGLAlnmUAAAAAABfpvg,Dysd0OxEWfAAAAAAAABDbQ,True,Bror,Petrén,1870-08-26
Q5895058,Di4a42b6X_AAAAAAAAB4SQ,Di4a42b6X_AAAAAAAAB3Hg,True,Edvard,Jäderin,1852-03-05
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAAAcKA,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAAAcKQ,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAAAcKw,False,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAAC-1w,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAACujA,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,j6S8rJvx9lAAAAAAAADBbw,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,sj9PGLAlnmUAAAAAABk4Dw,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,sj9PGLAlnmUAAAAAABM1WQ,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,sj9PGLAlnmUAAAAAABN1xg,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,sj9PGLAlnmUAAAAAABNuBA,True,Felix,Hamrin,1875-01-14
Q53650,j6S8rJvx9lAAAAAAAAAcKg,WQknIBFpuuAAAAAAAAN6yw,True,Felix,Hamrin,1875-01-14
Q6255378,sj9PGLAlnmUAAAAAABfN2A,sj9PGLAlnmUAAAAAABKn6Q,False,Joachim,Åkerman,1867-10-31
Q6043107,sj9PGLAlnmUAAAAAABfQPw,sj9PGLAlnmUAAAAAABGbcA,False,Peter,Persson,1849-07-24
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,I_2wtd5VefAAAAAAAAAxHg,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,I_2wtd5VefAAAAAAAAAxHw,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,I_2wtd5VefAAAAAAAAAxIA,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,sj9PGLAlnmUAAAAAAB2nOA,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,sj9PGLAlnmUAAAAAABKXAw,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,sj9PGLAlnmUAAAAAABlZTQ,False,F F,Mæchel,1823-00-00
Q5999833,sj9PGLAlnmUAAAAAABlD0Q,sj9PGLAlnmUAAAAAABN-1w,False,F F,Mæchel,1823-00-00
Q111493137,sj9PGLAlnmUAAAAAABgfXg,YB0QHyfj0hAAAAAAAACojQ,False,Hulda,Skoglund-Lindblom,1896-01-29
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,4e1scVvZ-EAAAAAAAAAdFw,True,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,4e1scVvZ-EAAAAAAAAApAQ,True,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAABNgGw,True,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAACZc7g,False,Nils,Persson,1836-01-20
Q1383695,Dysd0OxEWfAAAAAAAAA8xQ,sj9PGLAlnmUAAAAAACZc8A,True,Nils,Persson,1836-01-20
