source_spa_id,target_spa_id
vfWYdYT6EoAAAAAAAAAt0w,4e1scVvZ-EAAAAAAAAAYng
4e1scVvZ-EAAAAAAAAAYng,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGbg
s04jCnobu5AAAAAAAAAGbg,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGbw
s04jCnobu5AAAAAAAAAGbw,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGcw
s04jCnobu5AAAAAAAAAGcw,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGdA
s04jCnobu5AAAAAAAAAGdA,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGQw
s04jCnobu5AAAAAAAAAGQw,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGUQ
s04jCnobu5AAAAAAAAAGUQ,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,s04jCnobu5AAAAAAAAAGYw
s04jCnobu5AAAAAAAAAGYw,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAAB2Qng
sj9PGLAlnmUAAAAAAB2Qng,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABGdgA
sj9PGLAlnmUAAAAAABGdgA,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABldjA
sj9PGLAlnmUAAAAAABldjA,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABlZRA
sj9PGLAlnmUAAAAAABlZRA,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABMBHA
sj9PGLAlnmUAAAAAABMBHA,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,sj9PGLAlnmUAAAAAABNiAQ
sj9PGLAlnmUAAAAAABNiAQ,vfWYdYT6EoAAAAAAAAAt0w
vfWYdYT6EoAAAAAAAAAt0w,vfWYdYT6EoAAAAAAAAA1Mw
vfWYdYT6EoAAAAAAAAA1Mw,vfWYdYT6EoAAAAAAAAAt0w
