qid,label,id,birth,old_url,status,final_url,soft404,slug,changed
Q15405,Elias Magnus Fries,323,1794-08-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/323.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/323.html,True,323.html,False
Q47011,Zigmas Zinkevičius,207,1925-01-04T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/207.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/207.html,True,207.html,False
Q52890,Gustaf V,297,1858-06-16T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/297.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/297.html,True,297.html,False
Q52926,Oscar I,292,1799-07-04T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/292.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/292.html,True,292.html,False
Q66216,Wolf Lepenies,189,1941-01-11T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/189.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/189.html,True,189.html,False
Q70423,Wolfgang Helbig,1305,1839-02-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1305.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1305.html,True,1305.html,False
Q115477,Louise Mountbatten,305,1889-07-13T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/305.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/305.html,True,305.html,False
Q225850,Sven Nilsson,337,1787-03-08T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/337.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/337.html,True,337.html,False
Q316031,Torsten Persson,223,1954-04-18T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/223.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/223.html,True,223.html,False
Q435739,"Prins Wilhelm, hertig av Södermanland",303,1884-06-17T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/303.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/303.html,True,303.html,False
Q444538,Per Daniel Amadeus Atterbom,468,1790-01-19T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/468.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/468.html,True,468.html,False
Q446338,Stig Strömholm,130,1931-09-16T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/130.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/130.html,True,130.html,False
Q499288,Andreas Lindblom,574,1889-02-08T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/574.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/574.html,True,574.html,False
Q509792,Axel Boëthius,582,1889-07-18T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/582.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/582.html,True,582.html,False
Q714281,Carl Gustaf von Brinkman,439,1764-02-25T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/439.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/439.html,True,439.html,False
Q1069138,Oscar Bernadotte,298,1859-11-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/298.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/298.html,True,298.html,False
Q1237532,Gunnar Tilander,605,1894-07-22T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/605.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/605.html,True,605.html,False
Q1245779,David M. Wilson,204,1931-10-30T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/204.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/204.html,True,204.html,False
Q1527706,Matthias Norberg,433,1747-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/433.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/433.html,True,433.html,False
Q1662985,Ingemar Düring,650,1903-09-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/650.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/650.html,True,650.html,False
Q1692096,Johan Vising,373,1855-04-20T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/373.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/373.html,True,373.html,False
Q1797996,Nils Herlitz,627,1888-08-07T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/627.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/627.html,True,627.html,False
Q1910650,Mathias Benzelstierna,255,1713-09-08T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/255.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/255.html,True,255.html,False
Q2070822,Carl Bildt,351,1850-03-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/351.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/351.html,True,351.html,False
Q2286404,Birger Ekeberg,375,1880-08-10T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/375.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/375.html,True,375.html,False
Q2485795,Oscar Alin,498,1846-12-22T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/498.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/498.html,True,498.html,False
Q2544847,Walter Hävernick,1371,1905-01-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1371.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1371.html,True,1371.html,False
Q2585353,Christoffer Bogislaus Zibet,267,1740-12-25T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/267.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/267.html,True,267.html,False
Q2939221,Carlo Maurilio Lerici,1374,1890-05-16T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1374.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1374.html,True,1374.html,False
Q3120877,Gunnar Olof Hyltén-Cavallius,341,1818-05-18T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/341.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/341.html,True,341.html,False
Q3358580,Karl Bernhard Wiklund,542,1868-03-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/542.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/542.html,True,542.html,False
Q3700818,Dag Norberg,631,1909-07-31T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/631.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/631.html,True,631.html,False
Q4936595,Birgit Arrhenius,26,1932-08-25T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/26.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/26.html,True,26.html,False
Q4936707,Greta Arwidsson,667,1906-07-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/667.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/667.html,True,667.html,False
Q4939155,Margareta Biörnstad,30,1928-05-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/30.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/30.html,True,30.html,False
Q4944209,Sara Danius,218,1962-04-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/218.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/218.html,True,218.html,False
Q4987138,Eva Haettner Aurelius,61,1948-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/61.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/61.html,True,61.html,False
Q4990548,Ingeborg Wilcke-Lindqvist,1167,1891-03-25T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1167.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1167.html,True,1167.html,False
Q5126408,Clarence Bloomfield Moore,1326,1852-01-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1326.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1326.html,True,1326.html,False
Q5341372,Edvard Magnus Rodhe,377,1878-12-17T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/377.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/377.html,True,377.html,False
Q5554691,Hans Andersson,21,1936-11-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/21.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/21.html,True,21.html,False
Q5567272,Evert Baudou,27,1925-10-08T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/27.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/27.html,True,27.html,False
Q5570999,Carl Reinhold Berch,230,1706-01-29T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/230.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/230.html,True,230.html,False
Q5580144,Paul Boberg,1145,1884-08-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1145.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1145.html,True,1145.html,False
Q5588948,Dan Brändström,31,1941-06-29T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/31.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/31.html,True,31.html,False
Q5603416,Sten Carlsson,663,1917-12-14T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/663.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/663.html,True,663.html,False
Q5605906,Ulric Celsing,260,1731-12-07T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/260.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/260.html,True,260.html,False
Q5621000,Gustaf Ljunggren,484,1823-03-06T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/484.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/484.html,True,484.html,False
Q5626669,Johan Hartman Eberhardt,416,1727-01-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/416.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/416.html,True,416.html,False
Q5708784,Ingemar Eliasson,48,1939-03-30T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/48.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/48.html,True,48.html,False
Q5745627,Berge Frondin,242,1718-08-01T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/242.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/242.html,True,242.html,False
Q5755004,Claes Gejrot,220,1960-07-21T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/220.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/220.html,True,220.html,False
Q5768079,Lars Grandel,438,1750-10-29T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/438.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/438.html,True,438.html,False
Q5774217,Eiler Græbe,1177,1892-07-23T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1177.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1177.html,True,1177.html,False
Q5784621,Carl Hallendorff,536,1869-11-05T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/536.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/536.html,True,536.html,False
Q5785169,Gunnar Hallström,1117,1875-05-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1117.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/1117.html,True,1117.html,False
Q5791865,Lars Hartman,63,1930-03-02T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/63.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/63.html,True,63.html,False
Q5804013,Bengt Hesselman,556,1875-12-21T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/556.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/556.html,True,556.html,False
Q5806973,Johan Hirschfeldt,67,1942-11-20T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/67.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/67.html,True,67.html,False
Q5811172,Åke Holmbäck,629,1889-04-16T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/629.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/629.html,True,629.html,False
Q5812128,Hans Olof Holmström,319,1784-10-15T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/319.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/319.html,True,319.html,False
Q5856968,Wilhelm Faxe,285,1767-05-18T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/285.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/285.html,True,285.html,False
Q5879921,Sven B.F. Jansson,654,1906-11-19T00:00:00Z,https://www.vitterhetsakademien.se/ledamoter/ledamoter/654.html,404,https://www.vitterhetsakademien.se/ledamoter/ledamoter/654.html,True,654.html,False
