url,name,birth
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rask-rasmus-kristian.html,"Rask, Rasmus Kristian",1787-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/holmback-ake-ernst-vilhelm.html,"Holmbäck, Åke Ernst Vilhelm",1889-04-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/rygh-oluf.html,"Rygh, Oluf",1833-09-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wilde-anders.html,"Wilde, Anders",1725 — d.
https://www.vitterhetsakademien.se/ledamoter/ledamoter/odhner-claes-theodor.html,"Odhner, Claes Theodor",1836-06-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tuneld-john-otto.html,"Tuneld, John Otto",1904-02-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/riis-poul-jorgen.html,"Riis, Poul Jørgen",1910-05-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/schnutgen-johann-wilhelm-alexander.html,"Schnütgen, Johann Wilhelm Alexander",1843-04-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/de-rossi-giovanni-battista-.html,"de Rossi, Giovanni Battista",1822-02-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wentzel-hans.html,"Wentzel, Hans",1913-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/mornet-daniel.html,"Mornet, Daniel",1878-03-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/jansson-erik-valter.html,"Jansson, Erik Valter",1907-05-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/regenbogen-otto.html,"Regenbogen, Otto",1891-02-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/tunberg-sven-august-daniel.html,"Tunberg, Sven August Daniel",1882-02-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/warburg-karl-johan.html,"Warburg, Karl Johan",1852-11-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nyerup-rasmus.html,"Nyerup, Rasmus",1759-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lundh-gregers-fougner.html,"Lundh, Gregers Fougner",1786-05-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lisch-georg-christian-friedrich.html,"Lisch, Georg Christian Friedrich",1801-03-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wahlin-hans-fredrik-theodor.html,"Wåhlin, Hans Fredrik Theodor",1864-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/galster-jorgen-georg-castonier.html,"Galster, Jørgen Georg Castonier",1889-05-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/menendez-pidal-ramon.html,"Menéndez Pidal, Ramón",1869-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/nordin-per-fredrik-stanislaus.html,"Nordin, Per Fredrik Stanislaus",1852-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/geijer-agnes-theresa.html,"Geijer, Agnes Theresa",1898-10-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/de-paris-marc-antoine-jullien.html,"de Paris, Marc-Antoine Jullien",1775-03-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/wistrand-erik-karl-hilding.html,"Wistrand, Erik Karl Hilding",1907-01-2
https://www.vitterhetsakademien.se/ledamoter/ledamoter/lundvall-carl-johan.html,"Lundvall, Carl Johan",1775-08-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/hallencreutz-carl-fredrik.html,"Hallencreutz, Carl Fredrik",1934-05-0
https://www.vitterhetsakademien.se/ledamoter/ledamoter/westman-henric-johan-ludvig.html,"Westman, Henric Johan Ludvig",1853-12-1
https://www.vitterhetsakademien.se/ledamoter/ledamoter/geijer-erik-gustaf.html,"Geijer, Erik Gustaf",1783-01-1
