qid,label,birth,wd_id
Q15405,Elias Magnus Fries,1794,323
Q47011,Zigmas Zinkevičius,1925,207
Q52890,Gustaf V,1858,297
Q52926,Oscar I,1799,292
Q66216,Wolf Lepenies,1941,189
Q70423,Wolfgang Helbig,1839,1305
Q115477,Louise Mountbatten,1889,305
Q225850,Sven Nilsson,1787,337
Q316031,Torsten Persson,1954,223
Q435739,"Prins Wilhelm, hertig av Södermanland",1884,303
Q444538,Per Daniel Amadeus Atterbom,1790,468
Q446338,Stig Strömholm,1931,130
Q499288,Andreas Lindblom,1889,574
Q509792,Axel Boëthius,1889,582
Q714281,Carl Gustaf von Brinkman,1764,439
Q1069138,Oscar Bernadotte,1859,298
Q1237532,Gunnar Tilander,1894,605
Q1245779,David M. Wilson,1931,204
Q1527706,Matthias Norberg,1747,433
Q1662985,Ingemar Düring,1903,650
Q1692096,Johan Vising,1855,373
Q1797996,Nils Herlitz,1888,627
Q1910650,Mathias Benzelstierna,1713,255
Q2070822,Carl Bildt,1850,351
Q2286404,Birger Ekeberg,1880,375
Q2485795,Oscar Alin,1846,498
Q2544847,Walter Hävernick,1905,1371
Q2585353,Christoffer Bogislaus Zibet,1740,267
Q2939221,Carlo Maurilio Lerici,1890,1374
Q3120877,Gunnar Olof Hyltén-Cavallius,1818,341
Q3358580,Karl Bernhard Wiklund,1868,542
Q3700818,Dag Norberg,1909,631
Q4936595,Birgit Arrhenius,1932,26
Q4936707,Greta Arwidsson,1906,667
Q4939155,Margareta Biörnstad,1928,30
Q4944209,Sara Danius,1962,218
Q4987138,Eva Haettner Aurelius,1948,61
Q4990548,Ingeborg Wilcke-Lindqvist,1891,1167
Q5126408,Clarence Bloomfield Moore,1852,1326
Q5341372,Edvard Magnus Rodhe,1878,377
Q5554691,Hans Andersson,1936,21
Q5567272,Evert Baudou,1925,27
Q5570999,Carl Reinhold Berch,1706,230
Q5580144,Paul Boberg,1884,1145
Q5588948,Dan Brändström,1941,31
Q5603416,Sten Carlsson,1917,663
Q5605906,Ulric Celsing,1731,260
Q5621000,Gustaf Ljunggren,1823,484
Q5626669,Johan Hartman Eberhardt,1727,416
Q5708784,Ingemar Eliasson,1939,48
Q5745627,Berge Frondin,1718,242
Q5755004,Claes Gejrot,1960,220
Q5768079,Lars Grandel,1750,438
Q5774217,Eiler Græbe,1892,1177
Q5784621,Carl Hallendorff,1869,536
Q5785169,Gunnar Hallström,1875,1117
Q5791865,Lars Hartman,1930,63
Q5804013,Bengt Hesselman,1875,556
Q5806973,Johan Hirschfeldt,1942,67
Q5811172,Åke Holmbäck,1889,629
Q5812128,Hans Olof Holmström,1784,319
Q5856968,Wilhelm Faxe,1767,285
Q5879921,Sven B.F. Jansson,1906,654
Q5879973,Valter Jansson,1907,621
Q5912576,Sven Kjöllerström,1901,639
Q5953488,Folke Lindberg,1903,665
Q5955768,Anders Otto Lindfors,1781,451
Q6070075,Gustaf Ribbing,1719,254
Q6079896,Schering Rosenhane,1754,418
Q6084610,Carl Birger Rutström,1758,435
Q6085109,Otto Rydbeck,1872,540
Q6090181,Erik Salvén,1889,1162
Q6150108,Karl Gustav Ljunggren,1906,647
Q6188994,Lars-Göran Stenelo,1939,126
Q6197609,Jan Svartvik,1931,131
Q6205641,Ulf Teleman,1934,136
Q6215668,Gustaf Trolle-Bonde,1773,320
Q6215783,Gustaf Trotzig,1937,166
Q6225599,Nils Erik Villstrand,1952,215
Q6228276,Carl Fredrik Wærn,1819,335
Q6238386,Knut B. Westman,1881,589
Q6240214,Mats Widgren,1948,141
Q6240646,Harald Wieselgren,1835,506
Q16184361,Carl Nordenfalk,1907,658
Q16649764,Gustaf Daniel Lorichs,1785,316
Q18245346,Herbert Rettig,1888,384
Q20738212,Rolf Torstendahl,1936,139
Q26835733,Göran Hermerén,1938,66
Q27996945,Carl Einar Dörring,1884,1160
Q27996985,Longxi Zhang,1946,191
Q27996985,Longxi Zhang,1947,191
Q27997023,Johan August Zacharias Wittlock,1828,501
Q27997032,Karl Gustaf Cedergren,1867,1129
Q28003369,Bo Andersson,1955,19
Q29341952,Gustaf Fredrik von Böningh,,1284
Q29342022,Carl Silfverstolpe,1840,505
Q29342026,Carl-Hakon Swenson,1913,399
Q29342027,Tage Cervin,1892,386
Q29342042,Sergiusz Michalski,1951,194
Q29342048,Johan Söderberg,1950,134
Q46778,Hans Hildebrand,1842,483
Q53310,Nils Edén,1871,370
Q72371,Gerhard Ritter,1888,924
Q75711,Paul Clemen,1866,866
Q77445,Christian Martin Joachim Frähn,1782,773
Q95252,Theodor Frings,1886,897
Q113512,Felix Genzmer,1878,921
Q312397,Oscar Montelius,1843,485
Q351891,Louis Masreliez,1748,428
Q352777,Niels Matthias Petersen,1791,803
Q525099,Torgny T:son Segerstedt,1908,393
Q552469,Carl Blegen,1887,917
Q879597,Björn Collinder,1894,585
Q962296,Gustav Storm,1845,509
Q1148805,Peter Gärdenfors,1949,60
Q1779574,Harry Fett,1875,883
Q1959091,Anders Fryxell,1795,457
Q2366372,Sune Lindqvist,1887,549
Q2885432,"Percy Smythe, 6th Viscount Strangford",1780,770
Q3056891,Ernest Chantre,1843,856
Q3302927,Vilhelm Fredrik Palmblad,1788,465
Q3338577,Gudmund Jöran Adlerbeth,1751,407
Q3352137,Erik Lönnroth,1910,645
Q3364467,Christian Molbech,1783,796
Q3365201,Rasmus Nyerup,1759,772
Q3422953,Oluf Kolsrud,1885,876
Q3430036,Hal Koch,1904,890
Q3784536,Helge Almquist,1880,545
Q4162615,Emil Hildebrand,1848,497
Q4384252,Orvar Löfgren,1943,96
Q4946836,Gunnel Engwall,1942,51
Q4962827,Torun Lindholm,1962,1032
Q4993033,Carl Gustaf Nordin,1749,412
Q5545272,Pehr Gustaf Alander,1807,5
Q5547178,Jonas Allvin,1777,1027
Q5556673,Georg Andrén,1890,614
Q5571700,Edwin Berger,1871,1110
Q5572041,Birger Bergh,1935,742
Q5580519,Simon Boëthius,1850,510
Q5586567,Ove Bring,1943,40
Q5586594,Nils-Arvid Bringéus,1926,41
Q5588678,Magnus Bruzelius,1786,1009
Q5615327,Göran Dahlbäck,1941,45
Q5615624,Urban Dahllöf,1928,46
Q5627297,Lars-Erik Edlund,1953,47
Q5627297,Lars-Erik Edlund,1953,47
Q5709994,Lennart Elmevik,1936,49
Q5713314,Lars Engwall,1942,52
Q5713434,Nils Erik Enkvist,1925,970
Q5716418,Gunnar Eriksson,1931,53
Q5725105,Eric Michael Fant,1754,420
Q5733641,Johan David Flintenberg,1762,423
Q5746108,Erik Frykman,1905,55
Q5774297,Bo Gräslund,1934,58
Q5780452,Sven Göransson,1910,694
Q5798922,Staffan Hellberg,1942,64
Q5799920,Staffan Helmfrid,1927,65
Q5884822,Kurt Johannesson,1935,74
Q5884856,Ture Johannisson,1903,617
Q5924059,Tryggve Kronholm,1939,748
Q5959106,Jan Ling,1934,93
Q5961097,Carl Ljunggren,1858,1097
Q5966107,Johan Lundblad,1753,445
Q5971957,David Magnusson,1925,97
Q5985424,Tryggve Mettinger,1940,101
Q5990960,Bertil Molde,1919,725
Q6010390,Göran B. Nilsson,1934,103
Q6013757,Erik Norberg,1942,4
Q6044699,Jan Petersen,1887,923
Q6073623,Adolf Fredrik Ristell,1744,410
Q6078537,Erik Rooth,1889,619
Q6156742,Gabriel Nikander,1884,880
Q6169365,Johan Henrik Schröder,1791,450
Q6195751,Olof Sundel,1764,444
Q6205460,Elof Tegnér,1844,500
Q6217653,Lars Tynell,1853,1066
Q6230706,Johan Fredrik Wallenius,1765,784
Q6231432,Per Adam Wallmark,1777,441
Q6238099,Gunnar T. Westin,1911,687
Q6254347,Samuel Älf,1727,421
Q7105892,Oscar Broneer,1894,926
Q7510658,Siegfried Lienhard,1924,85
Q11974196,Harald Grundström,1885,613
Q12303727,Bjørn Kornerup,1896,903
Q15261280,Åke Åkerström,1902,689
Q16162805,Johan Björnstjerna,1729,422
Q16503008,Anders Blad,1748,436
Q16650003,Nils Åke Nilsson,1917,700
Q16650009,Ludvig Nobel,1868,1114
Q18807099,Gustav Korlén,1915,78
Q20652796,Erik Cinthio,1921,37
Q20732118,Carl Fredrik Wiberg,1813,6
Q25927225,Anders Åman,1935,751
Q27912880,Sven Lundkvist,1927,95
Q27996927,Homer L. Thomas,1913,995
Q27996927,Homer L. Thomas,1917,995
Q27996975,Alarik Rynell,1913,695
Q29342000,Carl Richard Hjorth,1847,1052
Q29342019,Erland Jacob Ehnmark,1903,662
Q29342054,Anne-Marie Leander Touati,1951,84
Q23870,Otto Jespersen,1860,871
Q69529,Bernhard Karl von Koehne,1817,1264
Q72564,Herbert Jankuhn,1905,943
Q76589,Friedrich Christoph Dahlmann,1785,795
Q77231,Karl Richard Lepsius,1810,806
Q97466,August Kestner,1777,1263
Q97521,Johannes Kretzschmar,1864,861
Q120949,Johann Georg Peter Möller,1729,763
Q168356,Adam Oehlenschläger,1779,1247
Q215621,Eduard Fraenkel,1888,902
Q290255,Christian Ditlev Reventlow,1671,1060
Q323684,Edvard Holm,1833,821
Q335879,Torsten Hägerstrand,1916,711
Q355090,Ivar Tengbom,1878,378
Q371258,Kenneth Clark,1903,922
Q456732,Sven Lagerbring,1707,232
Q562127,Gerard De Geer,1858,366
Q606851,J. B. Trapp,1925,991
Q643868,Friedrich Ancillon,1767,780
Q697183,Gabriel de Broglie,1931,173
Q918017,Brita Malmer,1925,98
Q919826,Rutger Sernander,1866,374
Q940838,Nicolay Nicolaysen,1817,1035
Q1033420,József Hampel,1849,843
Q1037921,Carl Fredrik Adelcrantz,1716,252
Q1089021,Jean-Baptiste de Montyon,1733,767
Q1348997,Henrik Reuterdahl,1795,318
Q1355965,Johan Olof Wallin,1779,282
Q1609365,Herbert von Einem,1905,953
Q1662780,Inge Jonsson,1928,76
Q1794545,Erik Allardt,1925,168
Q2840561,Alvar Ellegård,1919,722
Q2940262,Ivar Afzelius,1848,355
Q3011853,Dag Prawitz,1936,111
Q3352340,Anders Fredrik Skjöldebrand,1757,276
Q3439510,Torbjörn Lodén,1947,94
